cell_id,total_counts,mito_counts,mito_fraction,state_domain
GSM4916578_ND1_untreated_070218_plate1_G4_S29_rep1_NA,430487.0,38323.0,0.08902243273316035,D2
GSM4916579_ND1_untreated_070218_plate1_G5_S37_rep1_NA,957504.0,45168.0,0.047172648887106476,D2
GSM4916580_ND1_untreated_070218_plate1_G6_S45_rep1_NA,1039074.0,101729.0,0.09790351794001197,D2
GSM4916581_ND1_untreated_070218_plate1_G7_S53_rep1_NA,1438530.0,86490.0,0.06012387645721674,D2
GSM4916582_ND1_untreated_070218_plate1_G8_S61_rep1_NA,3603533.0,206643.0,0.05734455602321389,D2
GSM4916583_ND1_untreated_070218_plate1_G9_S69_rep1_NA,1510526.0,134021.0,0.08872472238147507,D2
GSM4916584_ND1_untreated_070218_plate1_H10_S78_rep1_NA,1240.0,12.0,0.00967741935483871,D1
GSM4916585_ND1_untreated_070218_plate1_H11_S86_rep1_NA,587476.0,176643.0,0.30068121931789554,D2
GSM4916586_ND1_untreated_070218_plate1_H12_S94_rep1_NA,164615.0,49006.0,0.29770069556237283,D1
GSM4916587_ND1_untreated_070218_plate1_H1_S8_rep1_NA,1898027.0,111348.0,0.058665129631981,D2
GSM4916588_ND1_untreated_070218_plate1_H2_S15_rep1_NA,936467.0,63306.0,0.06760088716420333,D2
GSM4916589_ND1_untreated_070218_plate1_H4_S30_rep1_NA,663515.0,167816.0,0.2529196777766893,D2
GSM4916590_ND1_untreated_070218_plate1_H5_S38_rep1_NA,1934658.0,174687.0,0.09029347822715952,D2
GSM4916591_ND1_untreated_070218_plate1_H6_S46_rep1_NA,1157163.0,79334.0,0.06855905347820489,D2
GSM4916592_ND1_untreated_070218_plate1_H7_S54_rep1_NA,2308839.0,329784.0,0.1428354250772791,D2
GSM4916593_ND1_untreated_070218_plate1_H8_S62_rep1_NA,1045514.0,407241.0,0.3895127181462898,D2
GSM4916594_ND1_untreated_070218_plate1_H9_S70_rep1_NA,7511510.0,902421.0,0.12013842755983817,D2
GSM4916595_ND2_untreated_080818_plate1_A10_S73_rep1_NA,30950.0,2040.0,0.06591276252019386,D2
GSM4916596_ND2_untreated_080818_plate1_A11_S81_rep1_NA,900162.0,41390.0,0.04598061237866073,D2
GSM4916597_ND2_untreated_080818_plate1_A12_S89_rep1_NA,645417.0,30134.0,0.046689194737665723,D2
GSM4916598_ND2_untreated_080818_plate1_A1_S1_rep1_NA,1153825.0,65443.0,0.056718306502285876,D2
GSM4916599_ND2_untreated_080818_plate1_A2_S9_rep1_NA,374218.0,17171.0,0.04588501889273097,D2
GSM4916600_ND2_untreated_080818_plate1_A3_S17_rep1_NA,96067.0,7295.0,0.07593658592440693,D2
