sample_id,sample_number,in_normalized_matrix,in_non_normalized_matrix,placeholder_condition,placeholder_group,placeholder_batch,placeholder_note,state_available,H,R,S,M,phi,H_raw,R_raw,S_raw,M_raw,mean_neighbor_distance,pca_explained_variance_pc1,pca_explained_variance_pc2,state_domain,phi_q90_flag,phi_q95_flag,S_high_flag,M_high_flag,R_low_flag,candidate_stable_shell,candidate_irreversible_shell
SAMPLE 31,31,True,True,,,,,True,1.7329024,-4.025623,6.169402324005232,-2.1926153,7.878938790450388,10.48475,-19.14324,-2.6126321456821584,-9.024812,8.190285902243936,0.13508506,0.11744216,D2,True,True,True,False,True,False,False
SAMPLE 167,167,True,True,,,,,True,1.869828,-4.1654286,5.922737655922932,-2.292292,7.821795002590639,11.347209,-19.3994,-2.6156648437459604,-9.505654,7.932969659362955,0.13508506,0.11744216,D2,True,True,True,False,True,False,False
SAMPLE 132,132,True,True,,,,,True,-1.8736929,-1.9169241,7.3130142130638625,0.5627682,7.809110572821153,-12.232264,-15.279558,-2.59857164164381,4.267197,3.9585035877696986,0.13508506,0.11744216,D3,True,True,True,False,False,False,False
SAMPLE 143,143,True,True,,,,,True,-1.8085306,-1.6477013,6.118182153169472,0.5959656,6.616118964612247,-11.821822,-14.786272,-2.613261888539653,4.427342,3.492524684866096,0.13508506,0.11744216,D3,True,True,True,False,False,False,False
SAMPLE 122,122,True,True,,,,,True,1.3214539,-0.40130743,6.201099769230171,0.63911617,6.385091695919556,7.8931427,-12.502556,-2.6122424312511923,4.6355004,3.3385805387194742,0.13508506,0.11744216,D3,True,True,True,False,False,False,False
SAMPLE 110,110,True,True,,,,,True,3.0237508,-4.864339,0.2312870671037228,0.66888434,5.7711144497374764,18.61547,-20.679985,-2.6856402127971046,4.779103,8.311377526205051,0.13508506,0.11744216,D2,True,True,False,False,True,False,False
SAMPLE 133,133,True,True,,,,,True,2.6578863,-4.6516066,-1.063265033173961,0.8874483,5.533525076964795,16.310986,-20.290205,-2.7015564997891803,5.8334584,9.276359017447836,0.13508506,0.11744216,D2,True,True,False,False,True,False,False
SAMPLE 170,170,True,True,,,,,True,2.3807025,-4.2471704,-0.1340738395992713,-2.3177981,5.394104560404463,14.565077,-19.549173,-2.690132259927168,-9.6286955,8.641103589070894,0.13508506,0.11744216,D2,True,True,False,False,True,False,False
SAMPLE 137,137,True,True,,,,,True,-0.926879,0.5026616,5.2619532075353135,0.19944839,5.37026112305013,-6.268527,-10.846251,-2.623789070587184,2.514537,3.2555595906075525,0.13508506,0.11744216,D3,True,True,True,False,False,False,False
SAMPLE 197,197,True,True,,,,,True,1.202723,-1.6535225,4.406441372155643,-2.1429152,5.30937761010107,7.145287,-14.796938,-2.634307435892141,-8.785058,5.11233022831116,0.13508506,0.11744216,D2,True,True,True,False,False,False,False
SAMPLE 327,327,True,True,,,,,True,1.3485974,-2.2101688,3.99335285407363,-2.1791084,5.234399815228981,8.064113,-15.816858,-2.6393862854846093,-8.959655,5.42255910807162,0.13508506,0.11744216,D2,True,True,True,False,True,False,False
SAMPLE 337,337,True,True,,,,,True,1.2397952,-0.23606455,5.02423149680884,0.5876891,5.213549587658959,7.3787947,-12.199788,-2.6267118165866363,4.387416,3.088870053017952,0.13508506,0.11744216,D3,True,False,True,False,False,False,False
SAMPLE 193,193,True,True,,,,,True,0.11334803,-0.050502725,4.845989741714389,-1.4024079,5.046361338380517,0.28359452,-11.859791,-2.6289032671489165,-5.21284,5.174828859831984,0.13508506,0.11744216,D3,True,False,True,False,False,False,False
SAMPLE 161,161,True,True,,,,,True,-0.88780284,-3.3011158,1.6106284155704345,-3.2599683,4.990698960414547,-6.0223966,-17.815756,-2.668681457133641,-14.173738,6.52000695633233,0.13508506,0.11744216,D2,True,False,False,False,True,False,False
SAMPLE 186,186,True,True,,,,,True,2.559642,-4.0491424,-0.6290819700650657,0.7287589,4.886118556468203,15.692171,-19.186335,-2.696218296531036,5.0679383,7.897409969307263,0.13508506,0.11744216,D2,True,False,False,False,True,False,False
SAMPLE 286,286,True,True,,,,,True,0.11217963,0.36122963,4.672263288637852,-1.1366838,4.823397710803521,0.27623507,-11.105391,-2.6310392028788794,-3.9309835,4.798122972789695,0.13508506,0.11744216,D3,True,False,True,False,False,False,False
SAMPLE 185,185,True,True,,,,,True,1.7699171,-3.6578157,0.3933146758835334,-2.34278,4.706966944161709,10.717896,-18.469322,-2.6836481122694966,-9.749209,7.232325949369273,0.13508506,0.11744216,D2,True,False,False,False,True,False,False
SAMPLE 322,322,True,True,,,,,True,-0.76629674,-2.7446172,1.3722398781032892,-3.1009407,4.429335162162599,-5.2570615,-16.796106,-2.67161240164884,-13.406588,5.535585288670903,0.13508506,0.11744216,D2,True,False,False,False,True,False,False
SAMPLE 215,215,True,True,,,,,True,-0.4805367,-2.243591,2.2649467343323475,-3.002989,4.405966812316455,-3.4571323,-15.878097,-2.6606367302019454,-12.934067,5.001623054205331,0.13508506,0.11744216,D2,True,False,False,False,True,False,False
SAMPLE 324,324,True,True,,,,,True,-1.2469745,-2.9199061,0.8613879131961839,-2.9083202,4.3910264209845735,-8.284726,-17.117281,-2.6778932353689995,-12.477384,6.164783789109902,0.13508506,0.11744216,D2,True,False,False,False,True,False,False
SAMPLE 356,356,True,True,,,,,True,-0.45599753,-2.7950425,-0.5460101675504204,-3.2435396,4.34037696490604,-3.3025663,-16.888498,-2.6951969435476464,-14.094485,6.266206132323886,0.13508506,0.11744216,D2,True,False,False,False,True,False,False
SAMPLE 163,163,True,True,,,,,True,-0.922191,-2.867292,-0.5914429314573869,-3.0365448,4.317662333011455,-6.2389994,-17.020878,-2.6957555312700188,-13.095941,6.5290771223662025,0.13508506,0.11744216,D2,True,False,False,False,True,False,False
SAMPLE 205,205,True,True,,,,,True,1.0418541,-2.9577136,-0.1405780111011651,-2.8061748,4.210452307069741,6.1320148,-17.186554,-2.6902122275547726,-11.9846325,8.106061651637573,0.13508506,0.11744216,D2,True,False,False,False,True,False,False
SAMPLE 100,100,True,True,,,,,True,-0.055337768,0.75127566,4.054544930664471,-0.07113334,4.12454505520502,-0.7789138,-10.390725,-2.638633939825866,1.209247,3.367838109247173,0.13508506,0.11744216,D1,True,False,True,False,False,False,False
SAMPLE 196,196,True,True,,,,,True,-1.3906499,-2.9159243,0.065754557141941,-2.5428405,4.1117980906443945,-9.1897,-17.109985,-2.687675405459111,-10.714303,7.447408834722416,0.13508506,0.11744216,D2,True,False,False,False,True,False,False
SAMPLE 326,326,True,True,,,,,True,0.031183127,-2.6286352,0.1565588647870157,-3.1246953,4.086431986831035,-0.23394097,-16.583597,-2.6865589827054146,-13.521179,6.209180631359405,0.13508506,0.11744216,D2,True,False,False,False,True,False,False
SAMPLE 230,230,True,True,,,,,True,2.1031153,-3.0797646,0.0296601623692565,-1.6609293,4.082598482284352,12.816627,-17.410183,-2.6881191795999,-6.4599514,8.613207395841307,0.13508506,0.11744216,D2,True,False,False,False,True,False,False
SAMPLE 13,13,True,True,,,,,True,1.8772682,-2.1734753,2.588420775030574,1.2669672,4.068569581909395,11.3940735,-15.749626,-2.656659674612498,7.6642623,5.450876636457115,0.13508506,0.11744216,D2,False,False,False,True,True,False,False
SAMPLE 46,46,True,True,,,,,True,2.2907534,-2.828199,1.3325761350838914,0.5388491,3.913103331953476,13.998509,-16.94925,-2.6721000602891847,4.151811,6.444547818435237,0.13508506,0.11744216,D2,False,False,False,False,True,False,False
SAMPLE 85,85,True,True,,,,,True,-0.26984254,-2.421176,-0.4041187944129143,-3.0232272,3.90360385207084,-2.130024,-16.203478,-2.6934524144428917,-13.031696,6.143150524793438,0.13508506,0.11744216,D2,False,False,False,False,True,False,False
SAMPLE 211,211,True,True,,,,,True,1.3764274,-2.677271,0.3811343112116334,-2.42349,3.883413339874185,8.239406,-16.67271,-2.683797867678912,-10.138555,6.818280528964207,0.13508506,0.11744216,D2,False,False,False,False,True,False,False
SAMPLE 234,234,True,True,,,,,True,-0.09730529,-2.4457128,0.2589588804751048,-2.9957986,3.877221786825849,-1.0432564,-16.248436,-2.6852999927911925,-12.899381,6.032001835578181,0.13508506,0.11744216,D2,False,False,False,False,True,False,False
SAMPLE 119,119,True,True,,,,,True,-1.0229919,0.45267105,3.697141295000709,0.19466922,3.867579773925897,-6.8739176,-10.937846,-2.643028153728895,2.4914823,2.905393569054412,0.13508506,0.11744216,D1,False,False,True,False,False,False,False
SAMPLE 321,321,True,True,,,,,True,1.2024411,-0.3940981,3.5674139690118047,-0.5944068,3.831571444438893,7.143511,-12.4893465,-2.6446231280452714,-1.3150314,4.374278351617672,0.13508506,0.11744216,D2,False,False,True,False,False,False,False
SAMPLE 285,285,True,True,,,,,True,-1.9609038,-2.438635,1.9450556178320555,1.0261651,3.824701447596351,-12.781583,-16.235468,-2.6645697343779395,6.50263,4.5183653227024925,0.13508506,0.11744216,D1,False,False,False,True,True,False,False
SAMPLE 60,60,True,True,,,,,True,2.3318017,-2.8899915,0.8827189811498486,0.17653541,3.8209563080426494,14.257063,-17.06247,-2.677630973696159,2.4040046,6.689883057845154,0.13508506,0.11744216,D2,False,False,False,False,True,False,False
SAMPLE 256,256,True,True,,,,,True,-1.0459673,-2.3131375,0.2783458658609713,-2.8115351,3.798270519692335,-7.018634,-16.005524,-2.6850616332664994,-12.010489,5.217706008283131,0.13508506,0.11744216,D2,False,False,False,False,True,False,False
SAMPLE 228,228,True,True,,,,,True,0.38911128,-1.9433422,-0.9782763307138936,-2.9042451,3.649609704846037,2.0205562,-15.327963,-2.700511578863133,-12.457724,5.735478611767621,0.13508506,0.11744216,D2,False,False,False,False,False,False,False
SAMPLE 251,251,True,True,,,,,True,-1.5352155,-0.6481727,3.228769490746717,0.27825272,3.6440899326283223,-10.100282,-12.954877,-2.648786701456641,2.8946903,3.3518548893832376,0.13508506,0.11744216,D1,False,False,True,False,False,False,False
SAMPLE 36,36,True,True,,,,,True,0.69557655,-2.089259,-0.9866162488996388,-2.7176876,3.6342904523783983,3.9509022,-15.59532,-2.7006141166685302,-11.557768,7.003448979162207,0.13508506,0.11744216,D2,False,False,False,False,True,False,False
SAMPLE 284,284,True,True,,,,,True,2.2612002,-2.6762686,0.9555140027357256,-0.04991101,3.631933074510667,13.812362,-16.670874,-2.676735971899857,1.3116238,6.285474823334609,0.13508506,0.11744216,D2,False,False,False,False,True,False,False
SAMPLE 106,106,True,True,,,,,True,-1.0838228,0.34644246,3.440216161710586,0.07671471,3.62431604199684,-7.2570767,-11.132484,-2.646187002380908,1.9224681,3.272744335304108,0.13508506,0.11744216,D1,False,False,True,False,False,False,False
SAMPLE 262,262,True,True,,,,,True,-1.118698,-0.20224823,3.3511134948015204,0.7431254,3.6158797734081487,-7.476746,-12.137828,-2.647282503765503,5.137243,2.617757903285039,0.13508506,0.11744216,D1,False,False,True,False,False,False,False
SAMPLE 336,336,True,True,,,,,True,0.4976252,-2.131827,1.0371336644808449,-2.6440253,3.585921620140605,2.7040575,-15.673316,-2.6757324727280176,-11.202421,6.707905558239498,0.13508506,0.11744216,D2,False,False,False,False,True,False,False
SAMPLE 354,354,True,True,,,,,True,-0.15401725,-1.7883608,1.1186775255584014,-2.8924267,3.5832287138093304,-1.4004704,-15.043997,-2.6747299055118554,-12.400712,4.917852566956724,0.13508506,0.11744216,D2,False,False,False,False,False,False,False
SAMPLE 175,175,True,True,,,,,True,0.2904298,-2.1610818,0.5964014828735165,-2.739597,3.5518602177177767,1.3989869,-15.726918,-2.6811511962290657,-11.66346,7.073065895085479,0.13508506,0.11744216,D2,False,False,False,False,True,False,False
SAMPLE 99,99,True,True,,,,,True,0.005115327,0.5104252,3.4741641255474414,0.28581512,3.523076314601947,-0.39813533,-10.832026,-2.645769618225332,2.9311714,3.977608208377853,0.13508506,0.11744216,D1,False,False,True,False,False,False,False
SAMPLE 148,148,True,True,,,,,True,1.1142186,-1.8119895,1.4026055449253765,-2.3831277,3.488751779074318,6.58782,-15.087291,-2.671239061195611,-9.943847,5.782456565947291,0.13508506,0.11744216,D2,False,False,False,False,False,False,False
SAMPLE 56,56,True,True,,,,,True,0.75834143,0.9726723,3.2205991286597944,0.2551643,3.458112292604244,4.3462415,-9.985069,-2.6488871546000694,2.7833114,3.3394165340287207,0.13508506,0.11744216,D1,False,False,True,False,False,False,False
SAMPLE 187,187,True,True,,,,,True,0.40525994,-1.8710272,0.8118114527467744,-2.74123,3.440691529329727,2.1222723,-15.195463,-2.678502769100701,-11.671337,5.678967000529853,0.13508506,0.11744216,D2,False,False,False,False,False,False,False
SAMPLE 191,191,True,True,,,,,True,-0.46747082,-2.1252816,-0.2327006459830433,-2.6185853,3.412695387326788,-3.3748338,-15.661323,-2.691344858906521,-11.079698,6.460647406381702,0.13508506,0.11744216,D2,False,False,False,False,True,False,False
SAMPLE 82,82,True,True,,,,,True,-1.4221464,-0.35813528,3.071989843152976,0.23169644,3.4119739495040844,-9.388089,-12.423453,-2.6507142792382408,2.6701021,3.177728968519005,0.13508506,0.11744216,D1,False,False,True,False,False,False,False
SAMPLE 81,81,True,True,,,,,True,-2.0898957,-2.3983607,0.9802786862541296,0.68634295,3.3987956126738377,-13.5940695,-16.161674,-2.676431494536557,4.863323,4.565070619305502,0.13508506,0.11744216,D1,False,False,False,False,True,False,False
SAMPLE 272,272,True,True,,,,,True,2.244786,-2.4020967,-0.7776159686200909,0.27111828,3.389295616115351,13.708974,-16.16852,-2.698044495529574,2.8602736,5.64224913468692,0.13508506,0.11744216,D2,False,False,False,False,True,False,False
SAMPLE 229,229,True,True,,,,,True,-0.316299,0.81670296,3.170052708864211,0.7568809,3.3747817156255584,-2.4226413,-10.270845,-2.649508613808792,5.2035995,3.390847772431701,0.13508506,0.11744216,D1,False,False,True,False,False,False,False
SAMPLE 288,288,True,True,,,,,True,2.078444,-2.3558948,1.067204139158811,-0.014984667,3.318029434968855,12.661227,-16.083866,-2.675362761609508,1.480109,6.095796672483039,0.13508506,0.11744216,D2,False,False,False,False,True,False,False
SAMPLE 310,310,True,True,,,,,True,-1.1083581,-0.08440803,3.020344815797383,0.7639568,3.307823347168881,-7.4116178,-11.921914,-2.651349245630809,5.2377334,2.750308834665248,0.13508506,0.11744216,D1,False,False,True,False,False,False,False
SAMPLE 315,315,True,True,,,,,True,-0.24312119,-1.8049941,-0.7877592734705383,-2.625848,3.2913150079302227,-1.9617131,-15.074473,-2.6981692056521047,-11.114734,6.38929869560531,0.13508506,0.11744216,D2,False,False,False,False,False,False,False
SAMPLE 217,217,True,True,,,,,True,1.3031479,-2.1764088,-1.0443809072739565,-1.7626015,3.260743006687188,7.7778373,-15.755001,-2.701324322832104,-6.9504194,8.415447767367576,0.13508506,0.11744216,D2,False,False,False,False,True,False,False
SAMPLE 45,45,True,True,,,,,True,-1.0929086,-0.3073942,2.822377041146757,0.9069791,3.174486367981772,-7.314305,-12.3304825,-2.653783224082388,5.9276752,2.5615171964180723,0.13508506,0.11744216,D1,False,False,True,False,False,False,False
SAMPLE 65,65,True,True,,,,,True,-0.10873508,0.8301212,2.9203092363434577,0.7810467,3.136744251837274,-1.1152496,-10.24626,-2.65257916522359,5.3201756,3.540433669175977,0.13508506,0.11744216,D1,False,False,True,False,False,False,False
SAMPLE 290,290,True,True,,,,,True,1.3774676,-1.8554902,-1.099015650256037,-1.7026684,3.0736259013863787,8.245958,-15.166995,-2.7019960472446285,-6.661301,7.662524493992588,0.13508506,0.11744216,D2,False,False,False,False,False,False,False
SAMPLE 231,231,True,True,,,,,True,-1.6307874,-1.2804943,2.2001143637844764,0.41833642,3.051989802856577,-10.702265,-14.113454,-2.6614338326250886,3.5704558,3.581281697123477,0.13508506,0.11744216,D1,False,False,False,False,False,False,False
SAMPLE 243,243,True,True,,,,,True,-0.8740947,-1.5830193,-0.3654242021682795,-2.3753545,3.0076295671250306,-5.936053,-14.667758,-2.6929766713383265,-9.906348,4.914498292040455,0.13508506,0.11744216,D2,False,False,False,False,False,False,False
SAMPLE 136,136,True,True,,,,,True,0.49353793,0.66489345,2.825126874670682,-0.5898128,3.002479644261725,2.6783125,-10.549,-2.653749415370064,-1.2928703,3.743318228716327,0.13508506,0.11744216,D1,False,False,True,False,False,False,False
SAMPLE 331,331,True,True,,,,,True,-0.05194782,0.15299626,2.879032315644637,-0.34827024,2.9045181465614984,-0.7575614,-11.486928,-2.653086657595547,-0.12766534,6.225392362696153,0.13508506,0.11744216,D1,False,False,True,False,False,False,False
SAMPLE 346,346,True,True,,,,,True,1.5484997,-2.010864,0.2315643286434209,-1.35213,2.885013562114801,9.323245,-15.45168,-2.685636803915966,-4.9702992,6.291638105127993,0.13508506,0.11744216,D2,False,False,False,False,True,False,False
SAMPLE 360,360,True,True,,,,,True,-0.85236543,-0.06897495,2.689244957167249,0.58228576,2.8813850037959328,-5.7991858,-11.893637,-2.655420059290501,4.36135,3.3909642722170017,0.13508506,0.11744216,D1,False,False,True,False,False,False,False
SAMPLE 160,160,True,True,,,,,True,0.8487272,-0.09226796,2.477574380882899,1.1698773,2.8698151511448704,4.9155583,-11.936316,-2.6580225112421814,7.1959,3.66176576532999,0.13508506,0.11744216,D1,False,False,False,True,False,False,False
SAMPLE 169,169,True,True,,,,,True,-0.33041418,-1.5860282,-0.4018845383638921,-2.322457,2.860065938140929,-2.5115492,-14.673271,-2.693424944663589,-9.651171,6.590058185780064,0.13508506,0.11744216,D2,False,False,False,False,False,False,False
SAMPLE 269,269,True,True,,,,,True,0.2934613,0.676694,2.678516738912529,-0.6465229,2.8524512335650525,1.4180815,-10.527378,-2.6555519608189284,-1.5664403,3.555971089169553,0.13508506,0.11744216,D1,False,False,False,False,False,False,False
SAMPLE 203,203,True,True,,,,,True,1.7206316,-1.8438145,-0.886338466468579,-0.9554868,2.838798306585341,10.407459,-15.145602,-2.6993812192333797,-3.0568864,7.625907181974797,0.13508506,0.11744216,D2,False,False,False,False,False,False,False
SAMPLE 7,7,True,True,,,,,True,1.4650416,-0.63084656,2.298391338696972,0.39468288,2.825365770747593,8.7975645,-12.923131,-2.660225534761229,3.456351,3.3066786422053345,0.13508506,0.11744216,D1,False,False,False,False,False,False,False
SAMPLE 358,358,True,True,,,,,True,0.51586884,-1.3392551,0.1801655450941665,-2.4265785,2.8249721774388665,2.8189695,-14.221119,-2.6862687427848906,-10.153454,4.852807579217084,0.13508506,0.11744216,D2,False,False,False,False,False,False,False
SAMPLE 147,147,True,True,,,,,True,0.07621611,-0.2669203,2.324272709804831,-1.569934,2.8185087903385573,0.049710143,-12.256324,-2.6599073279233485,-6.0209885,5.442811548115145,0.13508506,0.11744216,D2,False,False,False,False,False,False,False
SAMPLE 278,278,True,True,,,,,True,-0.75841457,1.0311958,2.4221055882722906,-0.31965292,2.758139017567783,-5.207413,-9.877839,-2.6587044901460084,0.010385063,3.135718091144173,0.13508506,0.11744216,D1,False,False,False,False,False,False,False
SAMPLE 42,42,True,True,,,,,True,0.59928524,1.2827829,2.350473485726684,0.08808115,2.745388627918845,3.3443878,-9.416866,-2.6595851940602944,1.9772999,3.473140522321144,0.13508506,0.11744216,D1,False,False,False,False,False,False,False
SAMPLE 242,242,True,True,,,,,True,1.0233704,-0.03353107,2.503956040225866,-0.3600753,2.729077020740411,6.01559,-11.828694,-2.657698153449753,-0.18461302,3.758493582963963,0.13508506,0.11744216,D1,False,False,False,False,False,False,False
SAMPLE 41,41,True,True,,,,,True,1.4044143,-1.8784561,-0.5741674186514045,1.266549,2.726681408987801,8.4156885,-15.209075,-2.695543131923792,7.6622453,5.981683368786407,0.13508506,0.11744216,D2,False,False,False,True,False,False,False
SAMPLE 209,209,True,True,,,,,True,0.8820792,-1.797841,0.4281766375761903,-1.7851553,2.716691101383314,5.1256337,-15.061367,-2.683219490673434,-7.059219,5.87241749359893,0.13508506,0.11744216,D2,False,False,False,False,False,False,False
SAMPLE 235,235,True,True,,,,,True,-1.1193357,-0.0965261,2.4196097504908862,-0.47387344,2.7094827817560394,-7.480762,-11.944118,-2.6587351760260174,-0.7335769,4.142722975490361,0.13508506,0.11744216,D1,False,False,False,False,False,False,False
SAMPLE 325,325,True,True,,,,,True,-0.29136208,-1.0745069,0.3554694766094503,-2.4084537,2.6770253182903705,-2.26557,-13.736032,-2.6841134122391077,-10.06602,4.355310879709077,0.13508506,0.11744216,D2,False,False,False,False,False,False,False
SAMPLE 114,114,True,True,,,,,True,-0.017263962,0.69194853,2.515769853506436,0.31498036,2.628193564204317,-0.5390967,-10.499428,-2.657552904724264,3.0718648,3.3818468238530053,0.13508506,0.11744216,D1,False,False,False,False,False,False,False
SAMPLE 343,343,True,True,,,,,True,0.6147769,0.5602893,2.3859206432161497,0.7222697,2.627958456326458,3.4419656,-10.740662,-2.659149377586369,5.0366344,3.444090526609162,0.13508506,0.11744216,D1,False,False,False,False,False,False,False
SAMPLE 162,162,True,True,,,,,True,0.13141274,-0.91860425,-0.5441547607879739,-2.3911197,2.6219574743301512,0.39737955,-13.450377,-2.695174131652697,-9.9824,5.16335518761363,0.13508506,0.11744216,D2,False,False,False,False,False,False,False
SAMPLE 232,232,True,True,,,,,True,0.29796118,-0.95660883,0.1160550273341025,-2.410824,2.613316445368431,1.4464252,-13.520012,-2.6870569701568603,-10.077455,4.325422010089427,0.13508506,0.11744216,D2,False,False,False,False,False,False,False
SAMPLE 50,50,True,True,,,,,True,-1.3657192,-0.31318048,2.195312808606595,0.17277193,2.610080350781377,-9.032668,-12.3410845,-2.661492866888911,2.3858495,3.489750655767585,0.13508506,0.11744216,D1,False,False,False,False,False,False,False
SAMPLE 226,226,True,True,,,,,True,-0.7902985,-0.888475,-0.6758665991732759,-2.2175672,2.60544807452915,-5.408242,-13.395173,-2.6967935051947465,-9.145181,4.305146185370567,0.13508506,0.11744216,D2,False,False,False,False,False,False,False
SAMPLE 19,19,True,True,,,,,True,-0.15106748,0.8720098,2.284736283422813,0.7358856,2.558274814589056,-1.3818905,-10.169509,-2.660393421228363,5.102318,3.433465767713444,0.13508506,0.11744216,D1,False,False,False,False,False,False,False
SAMPLE 172,172,True,True,,,,,True,-0.5699297,-1.0842358,-1.1471764503551265,-1.9228489,2.552204750416372,-4.020196,-13.753858,-2.7025881756850216,-7.7234554,6.494242693972139,0.13508506,0.11744216,D2,False,False,False,False,False,False,False
SAMPLE 39,39,True,True,,,,,True,0.09065377,-0.80066407,-0.9059240023880408,-2.2277515,2.536307586953403,0.14064924,-13.234281,-2.699622019901441,-9.194309,5.252706281627912,0.13508506,0.11744216,D2,False,False,False,False,False,False,False
SAMPLE 183,183,True,True,,,,,True,1.4615368,-1.775855,-1.0327700183099602,-0.27264774,2.535882741036667,8.775488,-15.021083,-2.701181569024865,0.23713878,7.798495306675296,0.13508506,0.11744216,D2,False,False,False,False,False,False,False
SAMPLE 140,140,True,True,,,,,True,1.5164557,-1.4431999,-0.8021771769420448,1.1435397,2.516671394491803,9.121408,-14.411572,-2.6983464712016545,7.0688467,5.110169658338692,0.13508506,0.11744216,D1,False,False,False,True,False,False,False
SAMPLE 246,246,True,True,,,,,True,-1.0929421,-0.65559125,1.7576820260224726,1.1262199,2.445841309979394,-7.3145165,-12.96847,-2.666873459242576,6.985296,3.0600918072069017,0.13508506,0.11744216,D1,False,False,False,True,False,False,False
SAMPLE 348,348,True,True,,,,,True,-1.1417916,-1.0040579,0.2915386794036547,-1.8652321,2.42402681487866,-7.622206,-13.606951,-2.684899429978943,-7.445511,4.7785679846573865,0.13508506,0.11744216,D2,False,False,False,False,False,False,False
SAMPLE 14,14,True,True,,,,,True,-0.22178036,0.76276034,2.251629316489249,-0.12777106,2.3910562256640846,-1.8272927,-10.369682,-2.6608004654771333,0.9360258,3.438306101425228,0.13508506,0.11744216,D1,False,False,False,False,False,False,False
SAMPLE 96,96,True,True,,,,,True,1.2429326,0.14202482,1.9776718285626789,-0.4887563,2.3906319193723853,7.3985558,-11.5070305,-2.664168723889083,-0.80537206,4.631653119753241,0.13508506,0.11744216,D1,False,False,False,False,False,False,False
SAMPLE 240,240,True,True,,,,,True,-0.54546535,1.1875622,1.9549979738250285,-0.3755594,2.381364827473665,-3.8661013,-9.591335,-2.6644474948857417,-0.25930855,3.370353846527887,0.13508506,0.11744216,D1,False,False,False,False,False,False,False
SAMPLE 29,29,True,True,,,,,True,1.5344964,-1.5485686,-0.3461922856133254,0.89305866,2.381207012365737,9.235043,-14.604635,-2.6927402183572293,5.8605227,5.734973735440399,0.13508506,0.11744216,D2,False,False,False,False,False,False,False
SAMPLE 347,347,True,True,,,,,True,-0.31505948,1.1570687,2.012904121622316,0.23318414,2.354618521616554,-2.414834,-9.647207,-2.663735549134969,2.6772788,3.452005905077074,0.13508506,0.11744216,D1,False,False,False,False,False,False,False
SAMPLE 320,320,True,True,,,,,True,-0.61711,-0.5865065,-0.8723299427668113,-1.9827474,2.3274581502806027,-4.3173723,-12.841888,-2.699208986935023,-8.012406,3.925763794195322,0.13508506,0.11744216,D2,False,False,False,False,False,False,False
