gene,log1p_mean_diff_sector_vs_rest
ZNF251,0.976710910046159
PCMTD2,0.9755968104819432
TPM1,0.975583219205312
ANAPC13,0.975397359569862
ZDHHC3,0.9748474046717566
BPHL,0.9746905520505174
PLPP6,0.9742949842624361
CD47,0.9740551832891553
FASTKD5,0.9736444882020725
AGAP6,0.9730440509016531
NUMA1,0.9727595880295423
DENND10P1,0.9727347484443605
SLC44A2,0.971848536478052
UBXN6,0.9716113416071246
ATXN7L3,0.9715979539452134
NARF,0.9708195004720888
FAM234A,0.9701170914556223
MEGF9,0.9698748110979691
ITFG1,0.9698741617418314
ZNF510,0.9697554262625638
ADGRF5,0.9697180294450419
TCTN3,0.9696244015610778
PXDN,0.9695825891480903
TSNAX,0.9693687420195047
ZDHHC5,0.9689854059847938
GSTA4,0.9680725724332755
TTC12,0.967566100576956
PPP1R7,0.9675142222157316
RABIF,0.9667751738594079
ABHD4,0.966473638657861
ENPP1,0.9663077752827522
H3P6,0.9645110292977579
WAC,0.9640482589957582
TGFA,0.9623711734648996
RBFA,0.9619430142297352
VSTM2L,0.9615920862101919
SPDEF,0.9601387993320643
FOXK2,0.9594022123944028
ERAP1,0.9593055958224891
TRIM33,0.9583408430731346
PTDSS2,0.9578958459746143
GPR108,0.9576904075292774
KIRREL1,0.9575039477730658
EXOG,0.9573741177755752
ALDH3A2,0.9564766050701108
SPRED1,0.9563432933689475
MARVELD1,0.9560789613892715
GPAT2,0.9555511836425772
IPP,0.9555509965037052
ABHD14B,0.954786370493633
MAP3K2,0.9539683434443189
SERPINF1,0.9533760541882431
ZFTRAF1,0.9532585033206784
HHEX,0.9532524966354331
ALDOC,0.9520332900947781
FAM219B,0.9518755092988931
VPS13A,0.9515399448818651
NRBP1,0.9515395240089983
MTERF1,0.9513938393057912
TUBG2,0.9509624902891622
IRF2BPL,0.9509573337445398
RNASET2,0.9508712020977321
MFSD6,0.947504720426225
SPNS2,0.9474353300853511
KIF3B,0.9460893564499573
RBL2,0.9460730346642925
RCC2,0.9459197592078485
HILPDA,0.9454065133068599
GALNT7,0.9448810492743718
MCM3AP,0.9447809497219501
ETNK1,0.944728871336804
PI4K2B,0.9439701755820507
S100A3,0.9438732275230879
LAMP1,0.94352941829259
GCAT,0.9430720625806139
KANK2,0.9430187403434807
UBN1,0.9427683569827767
PIN4,0.9426938208940241
GPS2,0.9424651993016684
CIPC,0.942219008105554
ZFR,0.9420293225008751
SNRNP25,0.9410263282441891
PCBP2,0.9407126378371311
RUFY1,0.9405148753251917
FLYWCH2,0.940106116459239
KIAA0319L,0.9390113900145876
SAP30L,0.9389654121169025
CEP70,0.9389280442687866
OTUB2,0.9388773522977287
PTPN1,0.937482675364472
PPP1R16A,0.9373162329136979
TRAPPC2,0.9359438313525871
KIAA0232,0.935900892794229
MBTPS2,0.9358934935710471
SEPHS2,0.9354970975435257
PARVA,0.935227740589998
TUBB4B,0.9349130731257063
EMSY,0.9341070457879583
CNOT8,0.9334344320286965
HIPK2,0.9331853238512986
TRIM28,0.9331090697150293
SUFU,0.9323642310315983
ENSG00000263470,0.9323514421848037
TLN1,0.9321641737281712
MAML1,0.9314482205359389
SOX9,0.9312174262894777
RYBP,0.9305830080834374
TNKS,0.9305382828678805
HECTD3,0.9297098450778976
ABR,0.9293883414008599
REX1BD,0.9288805660791963
DDX56,0.9287179617227932
ZCCHC14,0.9281593626989724
NAA40,0.9280562449339979
LDAH,0.9274199048854668
WNK1,0.9270645678366325
NHLRC3,0.9267189886095382
NEIL3,0.9262239927113874
QKI,0.9249983721206076
VPS36,0.9248202633999916
SHC1,0.9247616031535086
TYK2,0.9244424427391984
ANXA11,0.9236254711070764
FOXA2,0.9223593789176039
MDM4,0.9223374998558822
WFDC10B,0.9221563290557072
LEPROT,0.9219653076168708
HERC2,0.9211969560105482
RRP36,0.9207764355504167
PPP1R15B,0.9203342754302595
DDI2,0.9202267535570683
SUMF1,0.9200053227635128
NFE2L3,0.9192944305079236
PCYOX1,0.9173554288106627
MBD3,0.9168768125548437
TGFB1I1,0.9152818621785364
EGLN1,0.9134071577336076
CMTM8,0.9128902242751376
POU2F2,0.9128442558830426
FUNDC1,0.9125546999474514
PKP2,0.9124912812052046
BRD9,0.912487425643508
ATP6V1F,0.9120248986355053
FAM120AOS,0.9108168827988397
CHD3,0.9107205363751678
CDADC1,0.9106339392931984
EFTUD2,0.9106247036101163
EDEM2,0.9098901277633284
ZNF561-AS1,0.9096565785601746
ENSG00000263244,0.9092960112983948
OCEL1,0.9088406327498075
ZNF500,0.9081608498878787
AHNAK2,0.9076184355435304
RRP7A,0.9069709796426628
GUK1,0.9060751004119298
CBY1,0.9049128809710183
KIN,0.9043637678471687
VEGFA,0.9035737577317304
LNC-WAL,0.9028502754004248
MAPK3,0.9027386294414008
MOB3A,0.9025400037017133
PMP22,0.9010956291875996
CRNDE,0.9010547747926847
PI4KB,0.9008555523164401
KDM5A,0.9006826418916565
HMGA2,0.9003828222945915
CCDC69,0.9000451539274708
ZC3HAV1,0.8997865884244924
MED26,0.8995490751452154
TCTN1,0.8995153468068866
ATG9A,0.8989912675973031
MIR22HG,0.8989120993135796
FAM118B,0.8988334232534845
MAP3K11,0.8986558266534856
SYVN1,0.8983435867036662
CDKN1B,0.8982266590180599
LLGL2,0.8978573385481892
GGT5,0.8977884521207729
YIPF6,0.8970823445665244
CDPF1,0.8970490066626641
BCS1L,0.8966291967315791
VPS25,0.8961147737161514
TRDMT1,0.8956957598589823
COQ5,0.8955905663274486
LASTR,0.8952905462954788
UBE2O,0.8947574882207692
ZMAT2,0.8946416410544906
GATAD2A,0.8941854633480704
PNPLA2,0.8934767400110075
ABHD13,0.8934143179614724
CALHM2,0.8933983258126994
IL13RA1,0.8931297843170369
RORA,0.8924052922483977
LPCAT1,0.8918642727350892
UTP14C,0.891766458600177
PDE8A,0.8916438838424938
KIF23,0.8914420115482828
ARSJ,0.8913633731748367
SCD5,0.8910396551695241
BAG3,0.8900691761723172
RBM4B,0.8900249168802377
JMJD4,0.8891193971621902
CRABP2,0.8889995053379142
ENSG00000226332,0.888482260944152
EVI5,0.8883429706278916
IBTK,0.8876737802520411
ZNF689,0.887182547511239
IFNAR1,0.8869929899838211
SEMA4B,0.8868226128408465
C19ORF12,0.8856675317867921
HYLS1,0.8854137829911333
NAA35,0.8837106568230384
FLVCR2,0.8834468203681505
RAB11B,0.8819200516469885
AGBL5,0.8812146357062505
PRDX4,0.8811114844776258
TEX2,0.8809494699285856
ZFAND2B,0.8809313843930637
AKT1,0.8801059962667064
INTU,0.8799011531509562
CYBA,0.8798238679573398
DUSP4,0.8794926913362113
SFTA3,0.8789648657205611
HIVEP2,0.8788931418230741
PSIP1,0.8785164706733366
XXYLT1,0.8783618063245728
EIF4EBP2,0.8779358375127861
SEC14L1,0.8775918532086318
MYCBP2,0.8772366593876666
MYO10,0.876926163468621
DUSP6,0.8766858374242537
ECH1,0.876663864310097
LSM14B,0.876650546092598
COL4A2,0.8763834247133309
DNM1L,0.875946893254631
MRPL57,0.8757762025966258
FAHD2B,0.8753545192188856
TMEM131,0.8751061112456906
IPO9,0.8747958346395484
EEIG1,0.8737327825981223
SELENON,0.8736766600493537
IL11RA,0.8731987615636635
TMEM165,0.8726768776806719
METTL23,0.8717254260447143
CREB3L1,0.8716800968331406
CABLES2,0.8716509765933012
PPM1F,0.8715570328255362
SCCPDH,0.871491212736371
ITGA10,0.8710865987831682
SMAP2,0.8702359166030338
CFH,0.8700691587674666
APPBP2,0.8696698212293585
RAD17,0.8694874632243215
ACVR1,0.8693892678945414
MPHOSPH8,0.8692547509484068
UBE2W,0.8692316408705336
SCAF1,0.8683693821945958
PRNP,0.86797039054664
ENSG00000260257,0.8678474701335268
SGSM2,0.8677662209535508
ATP6V1E1,0.8676903242546161
PEPD,0.867423624028135
GNG11,0.8668591815926261
HEXA,0.8654766837076107
NAA15,0.8653850839866735
ATG16L1,0.8650880652161661
SEC31A,0.8649521051426419
TSPAN13,0.8646898458230434
GON4L,0.8645164809488328
CYTH1,0.8642382274497649
DSN1,0.864058331199316
LGALS3,0.8640233409228149
RRAGC,0.8636904647448249
CAMTA2,0.863633018368642
SDF2,0.8635818932423378
RUNX1,0.8635091918493654
PRKCI,0.8633733523257117
DHPS,0.8627354755641754
SETD5,0.8624388364029216
SESN3,0.8623831471959993
RHNO1,0.8623301918179394
BRD8,0.8618067355863084
PLXNA3,0.8611735977813394
MCRS1,0.8608735523184188
RYK,0.8607879161035845
MSI2,0.860340167725289
ISG20L2,0.8603185675418439
KANSL2,0.8601635037432438
SMIM12,0.8586193297415159
NSMAF,0.8584341315000463
SAMHD1,0.8583998753495319
GTPBP2,0.8582736063951804
HSPA14,0.8579631778117864
IQCG,0.8562213449912577
MCCC1,0.8559757805657557
SERPINB6,0.8555048971274695
IKBKB,0.8554498055619117
ORMDL2,0.8552415181453648
INPP5K,0.8550738980717771
DNM2,0.854735367819663
SH3D19,0.8541171217334205
MYOF,0.8537236811451798
CPVL,0.853566521053732
QDPR,0.8533749440353917
RREB1,0.8532980534656596
NPRL3,0.8532909186384816
MRPL12,0.8528976109845277
RPA1,0.8527742081727379
GPX3,0.8519109076730258
CPSF6,0.850686896021315
SHTN1,0.8505372304893297
EFNA5,0.8500874335479618
SOX13,0.8497621765051521
JUND,0.8495114775504962
RBMS1,0.8488869775229242
SMARCD1,0.8488804622036279
BRD10,0.8486570962321932
TNFRSF1A,0.8479776273224622
EXT2,0.847738733472744
DNMT1,0.8465600663941903
PPP2R5A,0.8463122629149791
MYH9,0.845149229610362
STUB1,0.8447470046597556
LUC7L,0.8446703455876499
CD2AP,0.8438101310496413
SNTA1,0.8410599013275053
CD2BP2,0.8407344246695121
SH2B3,0.8405208960917676
TATDN2,0.840398335505212
ZNF608,0.8403114676669561
IL4R,0.8398003606156863
DLG3,0.8387616011068877
PFKL,0.8385560716604434
HIF1AN,0.8378817088199053
UPF3B,0.837795068452305
ZNF148,0.8377830432401487
GRAMD2B,0.8374708568122899
MAPK9,0.837225503589671
WLS,0.8369403467825993
TRIM4,0.8364144519877101
TNRC18,0.8363914490270437
ABCC3,0.836083839291782
MYO6,0.8350023760778287
EIF4G3,0.8349169369379026
HMGA2-AS1,0.8345426879960525
DEGS1,0.8337012930417442
NR2F2,0.8335803405018076
FARP1,0.8332812021890406
KBTBD2,0.8330373026354212
FHIP1B,0.8327966405722466
PRKAR2A,0.8318872420654624
ZFAND5,0.8317510768347169
ERCC2,0.8312144515088384
PMVK,0.830801153181258
UBALD2,0.8304051855551675
ICA1,0.8302982263329566
SELENOW,0.83000500124189
RIC8A,0.829396403700096
VSIG10,0.8292630173701421
DCTN6,0.828926260996417
PDCL3,0.828538819108311
STK24,0.8280884451197355
UQCC4,0.8278411345283507
ESYT1,0.8277421391211042
DR1,0.8276458345971971
USP8,0.827382189825228
OXSM,0.8269512493792093
BAZ2A,0.8268949446660163
TAF8,0.8261274532627678
TJP1,0.8259325512093092
SH3BGRL,0.8256120162939289
TTC9,0.8245595735820768
SNRPB,0.82410979604182
TNS3,0.8241051931880177
RAB40B,0.8234570961758613
SPATC1L,0.8229749058063032
PARD6B,0.8227549814208637
MXD4,0.8226546981164233
MANBA,0.8225553479673948
TMEM54,0.8224088621164003
TPM2,0.8218713959695755
TAF1C,0.8216813916899488
ZBTB40,0.8207832710471894
TMEM50A,0.8201809388180346
ATG4B,0.8201692805931688
JOSD2,0.8201471452972078
SARAF,0.8199445171533171
COQ9,0.8199106290270404
IP6K2,0.8196857477253845
