cell_id,population_label,group_order,total_counts,detected_genes,zero_fraction,pc1,pc2,pc3,pc4,pc5,H,S,M,R,S_base,R_base,S_refined,R_adjusted,threshold_scheme,branch_sector
High-2015-09-08-2-G6_S56_L000,PKH26_High,2,1445549,5263,0.912045857147632,-2.72153579129032,-3.576274686333133,21.99515223201641,-3.798921158953034,3.854181248194352,0.7131888132027747,-0.9308975152273672,0.6744907594765952,0.2774301565001904,0.3294047770763431,0.7501342979945851,-0.9308975152273672,0.2774301565001904,median_like_0.0,mixed_sector
High-2015-09-08-4-C1_S12_L000,PKH26_High,2,619412,4002,0.9331194224405897,-59.755299264708526,-0.9046260667435456,0.4068910733818041,11.190860583989371,4.397536577625782,-0.8414365765500061,0.3068542262266473,0.6744907594765952,-0.9509923449883564,-2.8269415074279896,-2.0810362065326,0.3068542262266473,-0.9509923449883564,median_like_0.0,mixed_sector
High-2015-09-08-4-C2_S13_L000,PKH26_High,2,907146,5263,0.912045857147632,-27.381775457766008,9.50846647003139,8.970083237393187,12.01735906189981,4.673931059279025,0.1793463487622359,0.5614192223944365,0.6744907594765952,-0.4956190725571007,-0.0936890385600746,-0.7774310643686774,0.5614192223944365,-0.4956190725571007,median_like_0.0,malignant_reservoir
High-2015-09-08-4-C3_S14_L000,PKH26_High,2,1214646,6021,0.8993783214679635,-3.1761656401156646,14.868838615369665,15.5714509788469,4.3209995661291165,0.3439138362381555,0.8005097359991343,-0.0393525212806678,0.6744907594765952,-0.3489891829333442,1.2029955901136038,-0.2639911063528019,-0.0393525212806678,-0.3489891829333442,median_like_0.0,unstable_committed_malignant
High-2015-09-08-4-C4_S15_L000,PKH26_High,2,934599,6163,0.8970052475015876,-22.34941666890622,12.511038893005612,-10.305306962924444,30.83649561578809,-5.581851513331563,0.5498980891427236,1.1805847875647644,0.6744907594765952,-0.943287195173151,0.3197269707834594,-0.7067148591740696,1.1805847875647644,-0.943287195173151,median_like_0.0,malignant_reservoir
High-2015-09-08-4-C5_S16_L000,PKH26_High,2,1242309,5642,0.9057120893077976,-14.015146976358944,13.397088865799558,-11.393293096740168,-3.277088070039944,-13.395521707747118,0.687768494840729,-0.3861823450819309,0.6744907594765952,-1.1192493927700096,0.9789302720114724,-0.4612307498289997,-0.3861823450819309,-1.1192493927700096,median_like_0.0,unstable_committed_malignant
High-2015-09-08-4-C6_S17_L000,PKH26_High,2,2086631,5018,0.9161402453290552,-5.78185480806675,6.587179512462511,-17.16242974046844,-9.310419753053118,6.518864735377899,1.0321636343615372,-0.5587002969056946,0.6744907594765952,0.5819980343834407,1.1881163606140162,0.131027652631334,-0.5587002969056946,0.5819980343834407,median_like_0.0,mixed_sector
High-2015-09-08-4-D1_S22_L000,PKH26_High,2,1387689,6828,0.8858919081520105,8.331580955903789,26.60363305072344,0.4717803442805197,24.67428497024752,5.646160587353629,1.22113564387802,0.6245113288787484,0.6744907594765952,-1.2175588178866643,-0.1294747617038747,-0.8170413982781366,0.6245113288787484,-1.2175588178866643,median_like_0.0,malignant_reservoir
High-2015-09-08-4-D2_S23_L000,PKH26_High,2,1594118,6745,0.8872789865971457,18.194290415526915,23.73036869162416,23.192428059957063,17.721544682767504,4.63482168946353,1.35396381075353,-0.5249576397699421,0.6744907594765952,-0.7742851396057749,-0.6504455808207017,-0.659524450213822,-0.5249576397699421,-0.7742851396057749,median_like_0.0,unstable_committed_malignant
High-2015-09-08-4-D3_S24_L000,PKH26_High,2,1301907,7287,0.8782211972325278,10.962949780093496,22.12632956485355,-18.47328852156998,13.268902705462764,-22.99350025877436,1.2866698726745431,0.1851823753548246,0.6744907594765952,-0.7744736963364429,-0.0728927237837004,-0.5439268644188076,0.1851823753548246,-0.7744736963364429,median_like_0.0,malignant_reservoir
High-2015-09-08-4-D4_S25_L000,PKH26_High,2,747494,5198,0.9131321233998464,-36.413292245261054,-0.6754808312815866,-1.2258888737369122,13.032245550378027,-7.394877780672303,-0.0689217771856714,0.2440661442348666,0.6744907594765952,-0.9271524711590258,-1.0128931144225763,-0.8353486161443426,0.2440661442348666,-0.9271524711590258,median_like_0.0,mixed_sector
High-2015-09-08-4-D5_S26_L000,PKH26_High,2,1065626,6242,0.8956850162104348,-12.004653941317253,20.534664206236062,1.271862524142761,9.45743339371036,-11.380842044719666,0.7273598591448389,0.3021156526586883,0.6744907594765952,-0.6242542790678399,0.7448976891527476,-0.7769456241734911,0.3021156526586883,-0.6242542790678399,median_like_0.0,malignant_reservoir
High-2015-09-08-4-E1_S1_L000,PKH26_High,2,1008018,6812,0.8861592967679401,2.656034173729816,12.53033964173944,19.62513433143629,10.733915754950592,-11.525097668654343,0.8498994847148521,-0.463987855768902,0.6744907594765952,0.3145894244308424,0.8349634297070585,-0.0348122245244233,-0.463987855768902,0.3145894244308424,median_like_0.0,mixed_sector
High-2015-09-08-4-E2_S2_L000,PKH26_High,2,1075931,6879,0.8850396069387346,4.103881534653998,18.38941807455696,19.66364225452197,20.64645705040741,5.034025612475222,0.9454584945364836,0.4335227261802037,0.6744907594765952,-0.429792094527693,0.5594795527396597,-0.3603652806991427,0.4335227261802037,-0.429792094527693,median_like_0.0,malignant_reservoir
High-2015-09-08-4-E4_S3_L000,PKH26_High,2,1192436,5012,0.9162405160600288,-29.282167153729013,10.645818966201691,-10.30010686194894,5.485849601997516,8.352595604606536,0.3885181737574323,1.0209234409299306,0.6744907594765952,-0.6303490982933747,-0.2412321916255805,-0.905639998524022,1.0209234409299306,-0.6303490982933747,median_like_0.0,malignant_reservoir
