cell_id,population_label,group_order,total_counts,detected_genes,zero_fraction,pc1,pc2,pc3,pc4,pc5,H,S,M,R,oxidative_stress_score
G1-2015-05-07-B-A1_S170_L000,G1,0,918052,5025,0.916023262809586,-19.28655410195389,-25.258243109705024,-0.3739561968960425,6.670980700453392,14.69455427009683,-1.6768097978509446,-0.8272475005317935,-0.6744907594765952,0.9333004035300272,-1.0825162665350077
G1-2015-05-07-B-A2_S171_L000,G1,0,1702997,6226,0.8959524048263645,37.40927342870834,-34.53081084312353,3.224539848247533,-0.7461892959912411,12.373799391319132,-0.5122001885926866,-0.6744907594765952,-0.6744907594765952,1.2754896050454445,-0.4020073995278972
G1-2015-05-07-B-A3_S172_L000,G1,0,1186237,4738,0.9208195461078243,-3.473729704379369,-34.32505254475138,4.273614519674846,-7.587172756129058,11.842906908987114,-1.5084904805591672,0.2994788944433639,-0.6744907594765952,1.8411142464943249,-0.5408880364346378
G1-2015-05-07-B-A4_S173_L000,G1,0,1219218,4884,0.9183796249874662,-15.512373474197984,-16.948950489172802,-19.19360951432988,4.283679774573149,-9.048188656553313,-1.4124002256648756,-0.6609205213050494,-0.6744907594765952,1.0171167615220726,-0.652533855209232
High-2015-09-08-2-A1_S62_L000,PKH26_High,2,1248768,5089,0.9149537083458672,-19.50775926475663,12.408773905492271,-17.923783667717633,10.082372858680143,11.658611511931198,0.473892124604551,0.5501743181236433,0.6744907594765952,-0.5970579661787405,0.40075286245605113
High-2015-09-08-2-A2_S63_L000,PKH26_High,2,1071540,4027,0.9327016277281994,-37.94949529960643,-7.902477663066259,-12.487765381874294,0.5955219299708457,13.098481369847752,-0.2002143543511771,-1.391698584215673,0.6744907594765952,-0.7227710357014772,-0.29537495565230665
High-2015-09-08-2-A3_S64_L000,PKH26_High,2,2050592,7144,0.8806109829873993,22.406010453857604,30.757403484405508,-39.59501513675595,23.33905872210564,9.52405064794535,1.764938626611264,-1.2312798546058386,0.6744907594765952,-1.109101390665156,0.42860872682817136
High-2015-09-08-2-A4_S65_L000,PKH26_High,2,1751556,6081,0.8983756141582272,17.902921498439344,17.257606005415283,11.88327406348211,6.965764321479354,18.14123366172388,1.2410362994832982,-0.4504087490195397,0.6744907594765952,-0.2751392038534613,0.3706032063924247
High-2015-09-08-2-A5_S66_L000,PKH26_High,2,885672,5413,0.9095390888732912,-21.350085733495764,3.815151245179083,4.873877631332853,-11.735739670174103,-13.57522155906062,0.2117814883155179,0.2493139349857422,0.6744907594765952,-0.2841179021017376,-0.6813039666416381
High-2015-09-08-2-A6_S67_L000,PKH26_High,2,1719341,5949,0.900581570239647,16.970454768944315,4.119973849576811,-14.187240117530706,-18.13422079246912,-28.05310330764481,1.1730018665234916,-0.4130541535077242,0.6744907594765952,0.506819634344223,0.40516207858409525
High-2015-09-08-2-C1_S72_L000,PKH26_High,2,2241798,7101,0.8813295898927103,46.407621625391,11.591916030546374,-32.444670051826016,-19.713423037525803,-32.15386708061598,1.854214793682443,-2.7079914821791324,0.6744907594765952,-0.6605978790692387,0.6608912889379162
High-2015-09-08-2-C3_S73_L000,PKH26_High,2,2243682,7311,0.8778201143086333,41.91940508781974,24.75736700980907,-26.07073266066661,-1.8937559444941128,-21.165628924365148,1.917284125174144,-2.487648170934247,0.6744907594765952,-1.1573997477347029,0.8598283725779026
High-2015-09-08-2-C5_S74_L000,PKH26_High,2,1985386,6354,0.8938132958989271,26.91712140470416,22.23902030545626,12.668510909412676,19.26445258004019,20.28588393827194,1.4781880667046172,-1.2630108046637174,0.6744907594765952,-0.6744907594765952,0.6760100924692419
High-2015-09-08-2-D1_S82_L000,PKH26_High,2,1790393,6493,0.891490357298038,34.861150363584166,2.6383123853696304,18.672563210921336,-1.88719907361312,4.1024568510439945,1.4058589507270498,-1.8480107127425949,0.6744907594765952,0.1818981644477868,0.5522237978151227
High-2015-09-08-2-D2_S83_L000,PKH26_High,2,1934813,5765,0.9036565393228384,-4.359832878192217,16.032647925258516,-29.98859291218677,3.050959789638635,29.732560968476697,1.2413281063476749,1.184121149904663,0.6744907594765952,-0.3527756441303062,0.8380940351126909
High-2015-09-08-2-D3_S84_L000,PKH26_High,2,1975159,7359,0.8770179484608442,50.31383176667974,14.847189409872833,19.156970662113405,12.449045616354148,10.276694635863375,1.7851839300129595,-3.032560196098669,0.6744907594765952,-0.9587682753999854,0.5864693237126514
High-2015-09-08-2-D4_S85_L000,PKH26_High,2,2182259,6147,0.8972726361175173,25.502108715997224,24.54825934045865,-12.90811969406222,-0.2752008630326559,21.81002836976581,1.5159355735235218,-1.2187401556691593,0.6744907594765952,-0.7853393306405253,0.45084689733886
High-2015-09-08-2-E1_S90_L000,PKH26_High,2,1090293,4858,0.918814131488352,-52.0470858206189,5.37772197317033,2.6233785679373853,20.597102552947344,1.2619075771355437,0.2194155141150248,-2.11919622890752,0.6744907594765952,-1.8224776513377237,-0.9439389027004642
High-2015-09-08-2-E2_S91_L000,PKH26_High,2,1772001,5885,0.9016511247033656,7.324037301217348,21.672705731810765,-28.24120379263134,3.754126789737498,6.893984134866835,1.1845175683066782,0.1936663022253479,0.6744907594765952,-0.5294135868125338,0.17553295371446268
High-2015-09-08-2-G1_S51_L000,PKH26_High,2,1320543,5591,0.9065643905210736,-10.272594871987286,7.575793536665052,-14.91149440126357,3.519495705822917,-3.842239989621361,0.7383899672861217,1.1605855094380308,0.6744907594765952,-0.0496440563844302,0.21582786012990318
High-2015-09-08-2-G2_S52_L000,PKH26_High,2,1139584,4609,0.9229753668237576,-27.97000190875821,2.612006522681773,-17.25252113833401,8.818537480093278,21.89143273731693,0.157959541241772,-0.2784146505937501,0.6744907594765952,-0.5314833922527245,0.11634802441327613
High-2015-09-08-2-G3_S53_L000,PKH26_High,2,1247271,5470,0.9085865169290418,-8.602222992156058,9.007041708891991,-11.50056524681508,-7.768557496144322,2.8369482656555167,0.6263625316166467,1.3367376541742082,0.6744907594765952,-0.0740895134329993,-0.1679061754158762
High-2015-09-08-2-G4_S54_L000,PKH26_High,2,1865996,5675,0.9051606002874428,5.978875557092019,18.74775916763018,5.594363226811555,-6.0927169487008905,16.428145211202953,1.1663054311301109,0.4143039139300276,0.6744907594765952,-0.3652054622435676,0.42358406169524865
High-2015-09-08-2-G5_S55_L000,PKH26_High,2,1652093,6122,0.8976904308299074,18.52819564186868,15.84034915174322,22.96056071188585,9.651002518768284,27.25323223598767,1.1883744323441483,-0.4773279975651998,0.6744907594765952,-0.196511893268659,0.429490580271712
High-2015-09-08-2-G6_S56_L000,PKH26_High,2,1445549,5263,0.912045857147632,-2.72153579129032,-3.576274686333133,21.99515223201641,-3.798921158953034,3.854181248194352,0.7131888132027747,0.3294047770763431,0.6744907594765952,0.7501342979945851,-0.6095633758870546
High-2015-09-08-4-C1_S12_L000,PKH26_High,2,619412,4002,0.9331194224405897,-59.755299264708526,-0.9046260667435456,0.4068910733818041,11.190860583989371,4.397536577625782,-0.8414365765500061,-2.8269415074279896,0.6744907594765952,-2.0810362065326,-0.7312324643512643
High-2015-09-08-4-C2_S13_L000,PKH26_High,2,907146,5263,0.912045857147632,-27.381775457766008,9.50846647003139,8.970083237393187,12.01735906189981,4.673931059279025,0.1793463487622359,-0.0936890385600746,0.6744907594765952,-0.7774310643686774,-1.278184647712961
High-2015-09-08-4-C3_S14_L000,PKH26_High,2,1214646,6021,0.8993783214679635,-3.1761656401156646,14.868838615369665,15.5714509788469,4.3209995661291165,0.3439138362381555,0.8005097359991343,1.2029955901136038,0.6744907594765952,-0.2639911063528019,-0.13997975896216647
