cell_id,population_label,k,knn_same_label_purity,knn_label_entropy,centroid_margin,S_refined_raw,S_refined
G1-2015-05-07-A-E1_S132_L000,G1,12,1.0,-0.0,36.20833226544012,2.101565466295634,2.115546449859554
G1-2015-05-07-A-E2_S133_L000,G1,12,1.0,-0.0,25.169520896764332,1.745681295191969,1.7795370992488468
G1-2015-05-07-A-E3_S134_L000,G1,12,0.8333333333333334,0.5660857389596289,17.987091504412824,0.6972753432456149,0.7896807592002717
G1-2015-05-07-A-E4_S135_L000,G1,12,0.9166666666666666,0.2868359830561607,19.456594691878323,1.1496360997242618,1.2167788331460312
G1-2015-05-07-A-F1_S144_L000,G1,12,0.5833333333333334,0.887694275799104,11.647073584581733,-0.2540395810379363,-0.10850672956466016
G1-2015-05-07-A-F2_S145_L000,G1,12,0.5833333333333334,0.9596147939120492,5.608065339174811,-0.5139510557086493,-0.3539031054403901
G1-2015-05-07-A-F3_S146_L000,G1,12,0.9166666666666666,0.2868359830561607,25.544069512648857,1.3458923684790594,1.4020749119603126
G1-2015-05-07-A-G1_S154_L000,G1,12,0.9166666666666666,0.2868359830561607,20.878356864080693,1.1954727967437058,1.2600557194202364
G1-2015-05-07-A-G2_S155_L000,G1,12,1.0,-0.0,32.21435193098312,1.9728021118672778,1.9939740546340148
G1-2015-05-07-A-G3_S156_L000,G1,12,0.75,0.7214636866925115,4.294682433874968,-0.03681670955505527,0.0965850444201264
G1-2015-05-07-A-G4_S157_L000,G1,12,0.8333333333333334,0.45056120886630463,17.711538294668244,0.7931496684364229,0.8802008563647489
G1-2015-05-07-A-H2_S163_L000,G1,12,0.3333333333333333,1.077556327066801,2.2818962551903184,-1.1834155967761042,-0.9859805170413867
G1-2015-05-07-A-H3_S164_L000,G1,12,1.0,-0.0,19.991986984762633,1.5787609354635213,1.6219386269646612
G1-2015-05-07-A-H4_S165_L000,G1,12,0.6666666666666666,0.8675632284814612,9.714135989834158,-0.146340930828798,-0.006822652393716855
G1-2015-05-07-B-A1_S170_L000,G1,12,0.8333333333333334,0.5660857389596289,8.230971352651373,0.3827443111047975,0.4927151270149431
G1-2015-05-07-B-A2_S171_L000,G1,12,1.0,-0.0,25.723948797603434,1.7635556937424117,1.7964132784586881
