cell_id,population_label,group_order,pc1,pc2,pc3,pc4,pc5,knn_same_label_purity,knn_label_entropy,own_centroid_dist,nearest_other_centroid_dist,centroid_margin,S_refined_raw,S_refined
High-2015-09-08-4-G1_S39_L000,PKH26_High,2,-35.34182797838754,12.434147962213848,-9.4355882975153,11.771981412964742,1.6344693416352754,0.9,0.3250829733914482,30.24511637249957,44.555293847554836,14.310177475055266,0.951121304126407,1.0622747210686059
High-2015-09-08-4-G2_S40_L000,PKH26_High,2,-33.93193345737302,11.07827674780862,-7.374051054835522,14.500590528000997,1.6677252190216227,0.9,0.3250829733914482,29.149823603250045,44.00955868983208,14.859735086582038,0.968838687685193,1.0789454653410984
High-2015-09-08-4-G3_S41_L000,PKH26_High,2,14.062006863603909,7.610770786817653,16.740673038781875,3.933073302301645,-9.071075598907594,0.2,0.5004024235381879,29.941135137492374,23.635940243298617,-6.3051948941937574,-1.043457292392266,-0.8144758501217332
High-2015-09-08-4-G5_S43_L000,PKH26_High,2,-35.85605784356372,7.007737200733453,-10.857462563143486,-11.304122932306283,9.839944836318264,0.5,0.6931471805599453,36.40853549090349,41.14332622184917,4.734790730945683,-0.5264834660827598,-0.3280418106157158
High-2015-09-08-4-G6_S44_L000,PKH26_High,2,-34.229957200033304,0.5647248551062101,35.554540061930666,1.2142694673137948,-4.477132958020999,0.3,0.6108643020548935,48.42496033679665,46.64108311717805,-1.7838772196186028,-0.9145551906355622,-0.693188529821711
Low-2015-09-08-2-A10_S70_L000,PKH26_Low,1,33.56278602818022,22.557209783479436,16.38836222877177,-18.874746919068205,-2.672471598472773,0.9,0.3250829733914482,40.090618825499114,51.94351606675567,11.852897241256557,0.8719001715272567,0.9877335091478006
Low-2015-09-08-2-A12_S71_L000,PKH26_Low,1,-5.467368252422943,-0.3735923953363462,-6.8101081191089605,-42.58447689480378,34.250958144266,0.9,0.3250829733914482,51.04265067829689,60.27886880445278,9.23621812615589,0.7875401216251102,0.9083569570701663
Low-2015-09-08-2-A7_S68_L000,PKH26_Low,1,15.406788175780685,15.403469888756964,11.640485909950128,-10.958921322007273,-7.992743649725107,0.9,0.3250829733914482,20.15022532461301,32.30223448633979,12.152009161726781,0.8815433472577376,0.9968070225164173
Low-2015-09-08-2-A9_S69_L000,PKH26_Low,1,33.561119145011844,16.788408577993003,17.55455690057677,-12.491130112650753,-4.011141262270746,0.8,0.5004024235381879,37.44284684056036,48.841257183900204,11.398410343339847,0.4378580671586858,0.5793320710113685
Low-2015-09-08-2-C10_S79_L000,PKH26_Low,1,17.06590898206758,8.523937145987595,-20.74906428342753,-21.750900156587967,-15.997867823396152,0.7,0.6108643020548935,37.22624491115801,44.15987240063035,6.933627489472336,-0.026466768117074397,0.14243682840592878
