gene,log1p_mean_diff_PKH26_High_vs_G1
MBTPS1,1.239262578142148
TBCEL,1.238381654512523
TMEM94,1.2358287709450015
BACE1,1.2356612574269645
ERCC-00130,1.2343417014093054
MYH9,1.2336711876622104
THAP12,1.2334933953357574
MAPK14,1.2330336620049884
RASA1,1.2325947995736652
MATCAP1,1.2303222578188415
MRGBP,1.2262104325364338
ARHGEF2,1.2205417223304464
TNRC6A,1.218272134397077
SLC25A38,1.216816522707137
ZWINT,1.2162243883250725
NISCH,1.2148668834244942
ENSG00000141720,1.2141275608828206
ZNF195,1.2140832677805322
PRDX2,1.2140574330822593
BMI1,1.2139026122958398
CYBRD1,1.213543285148689
RCC2,1.2128626865488727
SLC35C2,1.2120435253735227
CAT,1.2103785209391895
LUZP1,1.2101617192370755
EAPP,1.2098134143841026
ADIPOR2,1.2092826659984357
MAEA,1.2087646055428172
FNBP1,1.2078213999163907
IDNK,1.2075608225786825
GHDC,1.2069474604107167
ATP2A2,1.2061986685987467
PURA,1.2047925061934874
GPC1,1.202531083555641
EMC3,1.201987335485736
HNRNPA0,1.2019178348407742
MRPL20,1.2010959471780875
CCDC69,1.1996457591957128
ATG14,1.1992606010444846
EFNA5,1.1974407967707663
TIMP1,1.1973467413879106
BRPF3,1.1934603079460449
ARHGEF40,1.193424741509023
CAPRIN2,1.1930887878203298
TEX2,1.1923184492827192
TP53,1.1919032572236232
ANKRD17,1.190635811762618
ZDHHC5,1.189764086740583
COL13A1,1.1883767091306123
ITFG1,1.186386637156433
TOE1,1.1836727229927004
PAG1,1.1829066646891429
TP53RK,1.1818727726899083
DUSP12,1.1815360139365134
AGRN,1.1810713500387675
FAM222B,1.180435256000457
DUSP4,1.1802480457269473
EEIG1,1.1785835103331759
UBR7,1.1782863574161824
TM7SF2,1.1774885571898803
SMAP2,1.1770958471699056
RUNDC1,1.1760771684893414
TDP2,1.1758768639103427
IGF2R,1.1756414035608316
RNPEP,1.1753471918812453
LFNG,1.1749780617822065
PCSK7,1.174756348331294
GLUD1,1.1746179886158585
ZMIZ1,1.1738628883312339
CHMP6,1.172921504054579
PDE10A,1.1722517946208473
NIPBL,1.1721296114105126
CDC25B,1.1717627500480283
SSBP2,1.1717515110682228
SNX7,1.171509577458007
H1-2,1.1711911612755261
APCDD1L-DT,1.1696052298344797
UGDH,1.1657428737501827
EGLN2,1.165310573399221
DAB2IP,1.1649193163114815
STT3A,1.1648136688180188
E2F4,1.1640483037907376
MBD3,1.1638492068316437
PPME1,1.1611722492191703
PIK3R2,1.15990649890689
TNKS2,1.1590974095929707
SERPINF1,1.1585913986501657
SUPT6H,1.1580958808006456
PPP1R14B,1.1565234559148667
NFYC,1.155975067190059
UBE2E3,1.1550237236927563
BMERB1,1.154879545344818
GRB10,1.1542700321773753
PARVA,1.1540090445157483
RNF130,1.1535444243902482
CABLES2,1.151874971773708
WWTR1,1.1516865305474582
USF3,1.1512312249962242
MYO5A,1.1499491450955528
JUND,1.1495538218836336
C1ORF122,1.1492468040975075
GUK1,1.1487273623049856
TMX2,1.1466939244711436
SLC26A2,1.1462323514148032
SZT2,1.1458386481660776
YLPM1,1.1457499769560493
CAB39,1.1456876873829418
EDF1,1.1452410769416472
IGFBP1,1.1435229881213869
GAS8,1.1426627459850551
LINC00667,1.142345490705869
PIP4K2C,1.1422794744035996
LASP1,1.1406607639976354
SAP30L-AS1,1.1348161836769266
TCN2,1.134815952807258
SPNS2,1.1325607517404666
TIMM8B,1.132041079790322
CATSPER1,1.131368287993349
NHERF1,1.1313473151052422
SMIM29-AS1,1.1302437901635787
STAM2,1.1281974911050352
EML4,1.1255200707082695
SCD5,1.1251278097126451
RMDN3,1.1250623521987726
SRSF3,1.124202690138473
DYRK4,1.1240089249052712
VPS51,1.1240047365225536
STAT6,1.1236881309208453
ANKRD11,1.1221283610931518
ACTR1B,1.1220520138249697
ENSG00000182319,1.1216417467772097
DYNC2I2,1.120315403249843
GPR153,1.1201286457935409
RPA1,1.1198425218187253
DCAF10,1.1196804028506202
ITGA1,1.1187280501571446
BDH2,1.117999903819369
TOPORS,1.1147686733510067
GFUS,1.1142395915069838
SIRT7,1.1142238795983788
ME1,1.1111916245952678
GPS2,1.1106126317093603
ATRN,1.110339249155854
GALNT7,1.1103338520031318
FAM111A,1.1103252080342598
BOD1,1.1079235088769268
HINT2,1.1079025116277403
CGGBP1,1.1070497597639677
AMOTL1,1.1064234760992828
RANBP9,1.1047373573216317
PRDM4,1.1041189658117114
PTPRG,1.104046534352406
FLRT2,1.102398439766904
SOX4,1.1016152659145186
FEM1C,1.1008216415766028
UNC119B,1.100611610735009
RPS6KA2,1.0994962577659468
NECAB3,1.0985132250910254
SWAP70,1.0970046995833576
ARHGAP5-AS1,1.0959993921029156
ENPP1,1.0959111132685455
GIPC1,1.095410664688685
TRIM16,1.0952417248010973
MED11,1.0950717773491505
NFKBIE,1.093520781044909
GINM1,1.0932821911721837
MSI2,1.0918123568844513
DNMT1,1.0917788586432304
CPD,1.0914411492033358
GNAS,1.0906640135754335
TMEM259,1.0885496337491822
PGAP6,1.0883737614943199
ZNF83,1.0883277590229996
EXO1,1.0881253390528456
SLC25A23,1.0880254164852405
ACOX2,1.086415527060424
FMN1,1.0861202102063718
EGLN1,1.0859168870278055
MOB3C,1.085872387445058
TRIM28,1.0834071561269862
JRKL,1.0804734650535441
LCIIAR,1.0803617873702724
MACROH2A1,1.0785623087155103
EHBP1,1.0785510084753775
S1PR3,1.0782046417988065
RITA1,1.0780795978912945
WSB1,1.077931208880727
CHD3,1.0771283945561163
NAPRT,1.076874649485169
COMMD5,1.0759979973949294
SPG7,1.0744224006798944
PTOV1,1.0741385061220656
SNX30,1.0740952894692821
GNE,1.0729404579816113
GRHPR,1.072892612515302
CLPTM1L,1.0727046646110936
SPDEF,1.071210144351366
H3P6,1.0711941701140884
CREG1,1.0708228719150918
MFSD6,1.0707143882874144
CAMK2D,1.0705851105173334
LUC7L,1.0696846830174183
SELENOW,1.0696453844469094
BTBD19,1.0693163962430354
MAP3K2,1.0691630470467357
OSR1,1.0687290459909988
HADH,1.0687104819132607
GYS1,1.0680319514735919
TJAP1,1.0676368515395356
CD58,1.0673354801789738
SDHAF2,1.0656408131411654
MON2,1.065526975815001
SMARCD1,1.0648451679647584
PEX6,1.0642862873834253
MAGOHB,1.0636386906527349
ECHDC2,1.0633025228504533
CSNK1G2,1.0632359479786238
ENDOD1,1.0625428512299255
STUB1,1.0624373428503953
TTC31,1.0609934278342419
FECH,1.0609398189024746
ZSCAN18,1.0560764393037154
TMBIM4,1.056001158256647
CES2,1.0558623756849308
MCM3AP,1.054880784856819
ZNF358,1.0543466250407327
FAHD2A,1.052909811935835
TNS3,1.0525872207052345
CD82,1.0520966616393412
POGLUT3,1.051467965277939
C3ORF38,1.051341843491944
ANKRD10,1.0506036202704316
SEZ6L2,1.0502448728685194
BAG1,1.050151936959221
CASP6,1.0497242367952435
UBE3C,1.0496232212395948
RAP2A,1.0488388036752296
SF1,1.0488057492089489
CYBC1,1.0487707431330247
IP6K2,1.0477456645778034
ICA1,1.0472501291721465
MAMLD1,1.0471409847329696
TTC19,1.0457931119269603
PDCD2,1.0457534792087708
WEE1,1.0434590125262493
WIZ,1.0432429143371145
MED1,1.0427716508167721
BCLAF1,1.042306332993372
SLC44A1,1.041915948859884
RNF34,1.0414058115449336
RHNO1,1.0409556072704886
FARP1,1.0405908876027719
CNIH3,1.0395206625461177
PITHD1,1.0386780601964656
SOS1,1.0386514362092263
UBTD2,1.037322697663099
TUG1,1.0371368784801143
MLXIP,1.0362289401154634
SMIM14,1.0352634779874994
SNX3,1.0352067929609543
MAP3K5,1.03462388120475
RBM23,1.0345926485930335
AGA,1.0341335909239757
PTPN23,1.0339487731294899
CCRL2,1.0336334419506374
ZNFX1,1.0333229579792471
TBC1D22A,1.0328324041450272
PURB,1.0322650183257178
PSMB10,1.0313911156171496
CDIPT,1.0303346223809853
NCOA1,1.0302975314621672
SLC48A1,1.0299160173862976
NKX3-1,1.029515099564534
PCNA,1.029244724073064
RALGDS,1.0284802554216106
LAMP1,1.0280952399343646
GGT5,1.0280806707704135
ARFGAP2,1.0276000644181953
PDZD8,1.026726073751695
CCND3,1.0262898250416388
FZR1,1.025683522067756
SORT1,1.0240467659958816
LOXL1,1.022711608137279
PCNT,1.0226934127353793
SH3BGRL2,1.0217237239287393
ITPRIPL2,1.0216147679765692
ZMYM4,1.0209828863667276
IDH1,1.0202132191584465
ZZEF1,1.019158855037734
BTBD6,1.0179181915892592
CHST15,1.0174359657024692
PNPLA2,1.0171595523861274
DCAF5,1.0160225764546231
C5ORF24,1.015600392189988
PLEKHH1,1.0151575296102837
SSH1,1.0141165804898364
H3-3A,1.0137923811910805
UBE2Q1,1.0126822106934958
ATP6V1H,1.012435880664583
RALY,1.0119918485575257
KLRC2,1.010544025176742
SREK1IP1,1.0104833250559238
NUAK1,1.0092913601003874
MED7,1.0074741105070741
ZC3H18,1.0059681322616059
UBAC1,1.005293730126137
RTF1,1.005103375778909
MYOF,1.0042834607170095
UBE2L6,1.0042102163589322
SETX,1.003658181231896
TBRG1,1.0030726278433884
ZNF561-AS1,1.0023323937177908
TENT5C,0.9999365796917044
DYNLL1,0.9990165993829869
TBP,0.9984911539240144
PABIR1,0.9979110396712936
AIDA,0.9975641683458759
PRSS23,0.9963041405569513
IREB2,0.9955720583525289
SETD5,0.9953276419685331
NPIPB5,0.9950476912625326
NPLOC4,0.9950243425595573
KRCC1,0.9941888733838381
TMEM179B,0.993992397322486
MANEAL,0.9935747646993214
L3HYPDH,0.993319855665528
PCYOX1,0.992700826294056
MAP3K3,0.9926411124305673
RBM12,0.99223841968528
MYCBP2,0.989295650803057
EHMT1,0.9890806089270386
TM7SF3,0.9881590556364839
POLG,0.9872808868190919
KBTBD2,0.9872787678793848
AKAP11,0.9869254569720193
ITGA2,0.9865378705249261
IL11RA,0.9862146582238346
RNF220,0.9849042884261188
IPO8,0.9848318813867374
TAGLN2,0.9848094755285395
RPRD2,0.984649936438882
DEF8,0.9840539257163328
CTC1,0.983909212397173
ENSG00000271430,0.9835389097343059
MALAT1,0.9818350134322831
PARP12,0.9812798670987517
TNKS1BP1,0.979949983824133
AP5M1,0.9797408194625457
ZDHHC3,0.9774978343484835
GNPTG,0.9768604588113217
SLC38A10,0.9755459110172074
TMEM87A,0.9748649916473178
GDE1,0.9742275789123473
EMC10,0.9737995056488911
HNRNPUL2,0.9721681868440533
ITGB1BP1,0.9717252661521183
PGRMC2,0.9714675332801351
CPEB2,0.9713250224418283
VSTM2L,0.9708544066941301
ESCO2,0.9707046934018602
PCYT2,0.968469397814333
CPOX,0.9677120402667978
WFDC3,0.9674834344054613
MEGF9,0.966438189858051
ZNG1A,0.9659107342474726
SYVN1,0.9659046597249605
MTHFS,0.9651401448317436
DNAJC13,0.9648552668674428
TSPAN17,0.9646692378548718
ROCK2,0.9639352854105905
ZNF12,0.9633238350482162
DIP2B,0.9632026222839477
TTC14,0.9629835646971127
SUFU,0.9621985574203735
