cell_id,population_label,group_order,total_counts,detected_genes,zero_fraction,pc1,pc2,pc3,pc4,pc5,H,S,M,R,glycolysis_score,oxphos_score,metabolic_balance_score,R_adjusted_raw,R_adjusted,R_minus_R_adjusted,S_refined,S_refined_raw
G1-2015-05-07-A-H3_S164_L000,G1,0,1923338,7428,0.8758648350546475,53.43168210234307,-23.727438293568724,8.722664407492822,28.338100700849388,-15.312696056119607,0.0033705050471173,-1.890613468879056,-0.6744907594765952,0.3328287678340968,-0.0448062935656633,0.4131265410358389,-0.4579328346015022,-0.44231946714457787,-0.43539391759673507,0.7682226854308318,1.8443583724238084,1.78230651095486
G1-2015-05-07-A-H4_S165_L000,G1,0,1359568,5151,0.9139175774591396,-5.292041769627454,-16.457853158661376,-16.809016967513188,-0.2742473037709902,1.7994482268509375,-1.1741460611599428,0.0660797303154379,-0.6744907594765952,1.5308905981345844,-0.4717911109189133,-0.0171591561916989,-0.4546319547272143,0.912656145238772,1.2702474718731287,0.2606431262614557,-0.0474932049190823,-0.2283211781391106
G1-2015-05-07-B-A1_S170_L000,G1,0,918052,5025,0.916023262809586,-19.28655410195389,-25.258243109705024,-0.3739561968960425,6.670980700453392,14.69455427009683,-1.6768097978509446,-0.8272475005317935,-0.6744907594765952,0.9333004035300272,-0.8835193893386551,-1.0633708349673885,0.1798514456287333,1.0577219267743068,1.4528560730328064,-0.5195556695027792,0.8778629532744867,0.7551316128830857
G1-2015-05-07-B-A2_S171_L000,G1,0,1702997,6226,0.8959524048263645,37.40927342870834,-34.53081084312353,3.224539848247533,-0.7461892959912411,12.373799391319132,-0.5122001885926866,-0.6744907594765952,-0.6744907594765952,1.2754896050454445,0.6225523670923747,0.4692607536940751,0.1532916133982996,0.8324679520831604,1.1693066874464346,0.10618291759900989,2.0182365383472844,1.9671012692337504
G1-2015-05-07-B-A3_S172_L000,G1,0,1186237,4738,0.9208195461078243,-3.473729704379369,-34.32505254475138,4.273614519674846,-7.587172756129058,11.842906908987114,-1.5084904805591672,0.2994788944433639,-0.6744907594765952,1.8411142464943249,-0.3809734827006297,-1.3002657717344683,0.9192922890338386,2.477138616607655,3.2396157998928294,-1.3985015533985046,1.763808870851202,1.6966998702732123
G1-2015-05-07-B-A4_S173_L000,G1,0,1219218,4884,0.9183796249874662,-15.512373474197984,-16.948950489172802,-19.19360951432988,4.283679774573149,-9.048188656553313,-1.4124002256648756,-0.6609205213050494,-0.6744907594765952,1.0171167615220726,-1.051922647688803,-0.6146936777923881,-0.4372289698964149,0.6241770404276032,0.9071103816802936,0.11000637984177908,-0.5266575165294116,-0.7375688612488535
High-2015-09-08-2-A1_S62_L000,PKH26_High,2,1248768,5089,0.9149537083458672,-19.50775926475663,12.408773905492271,-17.923783667717633,10.082372858680143,11.658611511931198,0.473892124604551,0.5501743181236433,0.6744907594765952,-0.5970579661787405,-0.3024854497671315,-0.7706613060407785,0.468175856273647,-0.4118767100305274,-0.39707261788568754,-0.19998534829305298,1.108305391206395,1.0000419176856254
High-2015-09-08-2-A2_S63_L000,PKH26_High,2,1071540,4027,0.9327016277281994,-37.94949529960643,-7.902477663066259,-12.487765381874294,0.5955219299708457,13.098481369847752,-0.2002143543511771,-1.391698584215673,0.6744907594765952,-0.7227710357014772,-0.2335637505852966,-1.2852884616922824,1.0517247111069858,-0.015799712092959606,0.1015085483915358,-0.8242795840930129,-0.7367159388835846,-0.9608153808864492
High-2015-09-08-2-A3_S64_L000,PKH26_High,2,2050592,7144,0.8806109829873993,22.406010453857604,30.757403484405508,-39.59501513675595,23.33905872210564,9.52405064794535,1.764938626611264,-1.2312798546058386,0.6744907594765952,-1.109101390665156,0.4191391154943794,0.2661263376092128,0.1530127778851665,-1.4791043631247252,-1.740497282114439,0.6313958914492832,0.0121065562967518,-0.1649795652985036
High-2015-09-08-2-A4_S65_L000,PKH26_High,2,1751556,6081,0.8983756141582272,17.902921498439344,17.257606005415283,11.88327406348211,6.965764321479354,18.14123366172388,1.2410362994832982,-0.4504087490195397,0.6744907594765952,-0.2751392038534613,0.6524754000072447,0.1058293717988301,0.5466460282084146,-0.3604795316564838,-0.332373922251945,0.05723471839848371,-0.4676201710389709,-0.6748249742783944
High-2015-09-08-2-A5_S66_L000,PKH26_High,2,885672,5413,0.9095390888732912,-21.350085733495764,3.815151245179083,4.873877631332853,-11.735739670174103,-13.57522155906062,0.2117814883155179,0.2493139349857422,0.6744907594765952,-0.2841179021017376,-0.1314455607377997,-0.8557773122625473,0.7243317515247475,0.07939119631837388,0.22133472961853048,-0.5054526317202681,-0.7688811872229036,-0.995000059913147
High-2015-09-08-2-A6_S67_L000,PKH26_High,2,1719341,5949,0.900581570239647,16.970454768944315,4.119973849576811,-14.187240117530706,-18.13422079246912,-28.05310330764481,1.1730018665234916,-0.4130541535077242,0.6744907594765952,0.506819634344223,-0.0614587647804008,-0.1066472409599002,0.0451884761794993,0.20895194698370717,0.3844256197909927,0.12239401455323023,-1.2010843346100235,-1.4543382161709535
High-2015-09-08-2-C1_S72_L000,PKH26_High,2,2241798,7101,0.8813295898927103,46.407621625391,11.591916030546374,-32.444670051826016,-19.713423037525803,-32.15386708061598,1.854214793682443,-2.7079914821791324,0.6744907594765952,-0.6605978790692387,-0.3901211733543839,0.9503999393897126,-1.3405211127440966,-2.1380800337096897,-2.570014926661815,1.909417047592576,-1.1270943927119594,-1.3757029639786833
High-2015-09-08-2-C3_S73_L000,PKH26_High,2,2243682,7311,0.8778201143086333,41.91940508781974,24.75736700980907,-26.07073266066661,-1.8937559444941128,-21.165628924365148,1.917284125174144,-2.487648170934247,0.6744907594765952,-1.1573997477347029,1.2138997617592735,0.6599139713866479,0.5539857903726256,-1.4381186130085144,-1.6889044776847604,0.5315047299500575,-0.3073013789075197,-0.5044408879145341
High-2015-09-08-2-C5_S74_L000,PKH26_High,2,1985386,6354,0.8938132958989271,26.91712140470416,22.23902030545626,12.668510909412676,19.26445258004019,20.28588393827194,1.4781880667046172,-1.2630108046637174,0.6744907594765952,-0.6744907594765952,0.8421140371118749,-0.6133012035734672,1.4554152406853422,0.02310947128669183,0.15048737354254552,-0.8249781330191407,-0.1956169498569053,-0.385744575698961
