gene,log1p_mean_diff_sector_vs_rest
TMEM60,1.0825711154389799
JUN,1.0825367443812974
TGFBR2,1.0823250576413566
RNF40,1.081512307758212
CDK2AP1,1.0815067766924469
SRPRA,1.0812655838148162
NOTCH2,1.081019595559253
PRNP,1.0809951916677747
TRPT1,1.0801962244860706
WSB1,1.079848733842558
COPS8,1.0795901642910009
PDLIM7,1.0780193557832494
MAPKAPK3,1.0778948191083244
PSRC1,1.0776948837681237
BTBD19,1.0770629988997606
C2ORF42,1.0768472597859957
RAB13,1.076569919897421
TNFRSF10B,1.0764214910575487
NIPA1,1.0755787285429135
NCDN,1.0740761819707862
PGAP6,1.0738910776817234
GEMIN4,1.0726331084817184
UROS,1.071974509413217
RAB21,1.0704556534737364
ZFPM2-AS1,1.0699450599245348
TMEM222,1.069815306655771
MVK,1.069809985170442
KCTD3,1.0697496356650298
CYB561D1,1.0697481281001684
CKAP5,1.0696561980632135
UTP14A,1.0695889804528895
CSK,1.0692801978314461
UBA6,1.068106845689798
RHBDF1,1.0678039670344392
KIF5B,1.0675421447396074
XAB2,1.0668743594260395
BLOC1S6,1.0666460326194764
LMF2,1.0663765510944474
SIPA1L1,1.0663245784097335
BCL2L13,1.0658814471900144
PEX5,1.0653602325336866
ANKRD12,1.064520766839324
AOPEP,1.0645076121224726
SNRPD3,1.0640512416202066
ZNF142,1.0639149517723032
NR6A1,1.0638442072895433
TM2D2,1.062293588319914
TSN,1.0621525970939598
GNAQ,1.0616005775511304
MKNK1,1.0611319546146532
PDZD11,1.060585456506093
ITGA2,1.0604040654748266
S100A3,1.060269931458934
MED7,1.060246096127685
COPA,1.058888337535974
NCOA3,1.0576255920963176
ANKRD10,1.0575811900735785
COMMD9,1.0574062349583184
MFSD12,1.0573291027383642
THAP12,1.0566219598189257
SUCLG2,1.0549677290913833
TAF6,1.0539715386534274
SH3PXD2A,1.0518058264484285
TTC31,1.0514526045821828
MKI67,1.0499542380267723
ECHDC1,1.0495334825755926
EIF2AK4,1.0494891945780478
IGF2R,1.0486326954690395
PSME4,1.0486101076111871
CCDC102A,1.047875550801275
CDKN2D,1.0476618574749736
FAM32A,1.047612780241483
MESD,1.0464845140260994
ENSG00000130723,1.045908630246462
IER2,1.0455187862418662
CCDC28B,1.0449481654754815
FAH,1.044838374402334
USP40,1.0445793445961864
CHMP3,1.0444915037510683
SDF2L1,1.043051168958941
MRPL58,1.04251508462389
AHNAK2,1.0416575985455552
PARP12,1.04024707412103
SMIM11,1.0398515937009034
RARS1,1.0397640331222835
WDR33,1.0387259682499272
PCBD2,1.0386757267917701
EXOC3,1.0385420965277867
CAVIN3,1.03848009630795
FOXA2,1.038444399629145
APC,1.0378238379382656
IFT52,1.037567422201303
MRPS34,1.0369499106968183
KBTBD2,1.036407590557267
KAT14,1.0359617239276766
OSBPL1A,1.0359526001950505
RIF1,1.034973296421926
VPS25,1.0347596686939222
SMIM29-AS1,1.0343969743718056
MRPL27,1.0335169074391501
TMEM214,1.0331557094109862
GBP3,1.0328933852977855
ARL4C,1.032856559004471
CCDC80,1.0317941755114743
PMF1,1.0313684102531826
WWP1,1.0306169067765818
PHYH,1.0300682253776459
NELFCD,1.029687185041233
NCSTN,1.029462472727296
PSMC3IP,1.0292015969509343
PARD3,1.0289851614230392
UBE2D2,1.028874821950558
BTN3A3,1.027634408384899
CEP57L1,1.0267868313111548
GYS1,1.026718886734919
NXT2,1.0246290144570767
DDB2,1.0238233594618973
PKIG,1.0237069189382293
ANKRD39,1.0236540247075756
RACGAP1,1.023272338024947
PPCDC,1.0231684217356403
BAD,1.0229959174938825
ENSG00000185928,1.0225525866668213
NCKAP1,1.0209044978279076
RITA1,1.0206131975629487
SMG7,1.0204225942647625
PFKM,1.0202968683347557
GSTM2,1.020109275801294
FAM20B,1.0194100143119602
SEMA4B,1.019371031829511
RAD54L,1.0191544530315908
TUBA4A,1.0190596774412013
TSKU,1.0190553061948233
ATPAF1,1.0189405293934553
MORN2,1.018637349149743
UBXN4,1.0186295161700851
COPS3,1.0184902590740519
MYOF,1.0172874764162358
BARD1,1.0156356665755233
MUL1,1.0156169282764083
TTC3P1,1.0155145610996295
VAC14,1.0150543087206414
ZNF227,1.0147060206034064
CIP2A,1.0146929264636195
SEC13,1.0143905650005998
PPWD1,1.0133883808593152
ZNF215,1.0133798312695637
DCUN1D4,1.0131310780550882
TRAPPC5,1.013113014079247
IQSEC1,1.012729131376591
BLCAP,1.0126047059490046
NUP98,1.0121908961292214
SLC5A3,1.01197308421639
CTSA,1.0118105054617619
TCF7L2,1.0116983489049152
DNAJC21,1.0112095000803285
INPP1,1.0108245914620235
SREK1,1.0107858440391704
NKX3-1,1.0102377102544948
DCAF6,1.009913657877561
TMEM87A,1.009895904504147
HSPA9,1.0098547860812923
COMMD10,1.008376930480962
IFIH1,1.007587244461306
GSN,1.006839447720684
TRIM32,1.0068377073422186
NT5DC2,1.0066509592338093
CACUL1,1.005873922786901
BLZF1,1.0052551307009532
CAP2,1.0047205687186573
FBXO5,1.0047055334127741
TAF4,1.0039928648864949
INTS7,1.0031494411953488
RPAIN,1.0029465864835325
ENOSF1,1.0028654940815687
ZNF367,1.0027862749740575
PAK1,1.0027195017011392
DELE1,1.002097764804462
RAMP1,1.001730471424259
HMGXB4,1.001624445264274
ZNF780A,1.0015450138419018
IDH1,1.0008790633125209
GNG11,1.000794145925986
TNKS2,1.0004917051324118
SIRT3,0.9996856525053603
MAST2,0.999539980024597
COX11,0.9972998557428627
CASP8AP2,0.9968825311381837
ATG4B,0.9965992865038578
ARHGEF26,0.9960827824449944
ENSG00000261253,0.9945424271508327
WDR90,0.9943838868355267
EAPP,0.9939345224035554
FARP1,0.9937847177088992
MAFG,0.9935424011893002
BACE1,0.9919662155868889
MTHFS,0.9918138306808832
TRAPPC6B,0.9913147646065874
DPCD,0.9909540849577814
SUPT7L,0.9904622307779491
GOLGA4,0.9904402904928862
NCAPG2,0.9903666292956179
HEMK2,0.9902075690378267
