cell_id,treatment_state,total_counts,mito_counts,non_mito_counts,mito_fraction,antigen_presentation_score,ribosomal_translation_score,housekeeping_output_score,mitochondrial_encoded_score,immune_leaning_score
GSM4921113_P5_treated_15d_TALL_031418_plate1_D7_rep_1_NA,treated,337625.0,17430.0,320195.0,0.05162532395409108,-0.4190559340719711,-0.6672515351553666,-1.3645834386914004,-1.2234954984231134,5.100732515137114
GSM4921115_P5_treated_15d_TALL_031418_plate1_D9_rep_1_NA,treated,1994094.0,148111.0,1845983.0,0.07427483358357229,2.012079555893014,0.13383372786841077,0.04580211625729682,0.6089528242999726,-0.6745
GSM4921117_P5_treated_15d_TALL_031418_plate1_E11_rep_1_NA,treated,382702.0,24277.0,358425.0,0.06343578031993562,-0.7004573182963704,-0.7381199489869644,-1.2567412443787687,-0.9402450714658274,2.240640500001526
GSM4921119_P5_treated_15d_TALL_031418_plate1_E1_rep_1_NA,treated,882828.0,103918.0,778910.0,0.11771035807654492,0.17142298260385821,0.18827777023799208,-0.3473620382184974,0.30549706294053003,-0.6745
GSM4921120_P5_treated_15d_TALL_031418_plate1_E2_rep_1_NA,treated,1734274.0,195431.0,1538843.0,0.11268749920716103,2.0628363656608806,0.2874249189325107,0.34328546023357953,0.8457367676546572,-0.6745
GSM4921121_P5_treated_15d_TALL_031418_plate1_E3_rep_1_NA,treated,2445169.0,248394.0,2196775.0,0.10158561637252886,1.3095742264388555,1.0738525998203905,1.138658452760697,1.051744618988596,-0.6745
GSM4921124_P5_treated_15d_TALL_031418_plate1_E6_rep_1_NA,treated,1842355.0,157901.0,1684454.0,0.08570606642042386,1.39676703098691,0.4864700931351161,0.05459673022882037,0.6637579773516441,7.318451021992076
GSM4921126_P5_treated_15d_TALL_031418_plate1_E8_rep_1_NA,treated,801514.0,107028.0,694486.0,0.13353229014090834,-0.2265324471849004,0.04762979940153331,-0.4727661445402719,0.33074279771233256,-0.6745
GSM4921127_P5_treated_15d_TALL_031418_plate1_E9_rep_1_NA,treated,868727.0,134814.0,733913.0,0.15518569124707762,-0.30377973859201823,-0.3772596152257281,-1.1507688913786398,0.5283486697871217,-0.6745
GSM4921129_P5_treated_15d_TALL_031418_plate1_F11_rep_1_NA,treated,1356669.0,173434.0,1183235.0,0.12783810936934506,0.3618824077262877,0.28542296404569734,-0.00417408218350855,0.7441006204175321,2.7852013949293797
GSM4921131_P5_treated_15d_TALL_031418_plate1_F1_rep_1_NA,treated,5360433.0,353047.0,5007386.0,0.06586165707135971,1.5868739615516783,1.8104068254982861,1.7789005080769291,1.3528713570476496,7.266760383166025
GSM4921132_P5_treated_15d_TALL_031418_plate1_F2_rep_1_NA,treated,1103117.0,65024.0,1038093.0,0.05894569660335214,1.153098217452442,0.08812609516478702,0.28248663180958633,-0.0962042174571916,-0.6745
GSM4921135_P5_treated_15d_TALL_031418_plate1_F5_rep_1_NA,treated,1748078.0,200539.0,1547539.0,0.11471970930358943,1.6593782544381224,0.18584583016071524,0.5068204757942254,0.8684652505921637,-0.6745
GSM4921136_P5_treated_15d_TALL_031418_plate1_F6_rep_1_NA,treated,679204.0,49358.0,629846.0,0.07267036118750773,0.4179496111329974,-0.2755827805759677,-0.6379104320477423,-0.3321066539666827,0.0
GSM4921145_P5_treated_15d_TALL_031418_plate1_G3_rep_1_NA,treated,565845.0,55857.0,509988.0,0.09871431222331203,-0.04971347692064589,0.18515946863195754,-0.4114963739676798,-0.22615830927712335,-0.6745
GSM4921151_P5_treated_15d_TALL_031418_plate1_G9_rep_1_NA,treated,342038.0,35426.0,306612.0,0.10357328717861758,-0.17269129361267216,-0.9126968628690708,-1.501140252351392,-0.6161366716805331,5.272555453885754
GSM4921152_P5_treated_15d_TALL_031418_plate1_H1_rep_1_NA,treated,1575280.0,140963.0,1434317.0,0.08948440912091818,1.175580303350075,0.6531273249237698,0.2421511813388553,0.5665844752888872,-0.6745
GSM4921153_P5_treated_15d_TALL_031418_plate1_H2_rep_1_NA,treated,3570748.0,311899.0,3258849.0,0.0873483651044543,1.729125036825949,1.2416085708636149,1.329568223717789,1.2467084313645451,-0.6745
GSM4921155_P5_treated_15d_TALL_031418_plate1_H4_rep_1_NA,treated,2275505.0,277874.0,1997631.0,0.12211531066730243,1.7755215395408073,0.41757835611853333,0.44316461831044623,1.1478162938984882,-0.6745
GSM4921157_P5_treated_15d_TALL_031418_plate1_H6_rep_1_NA,treated,1228123.0,106759.0,1121364.0,0.08692858940024736,0.6776373727934568,0.300647448459388,0.18696682513795668,0.3276887141079658,-0.6745
GSM4921252_P5_treated_8d_TALL_111017_plate4_A7_rep_1_NA,treated,666067.0,42454.0,623613.0,0.06373833263020087,0.8427126717287572,0.5022521505353886,-0.026252174283909354,-0.46112849618894697,-0.6745
GSM4921262_P5_treated_8d_TALL_111017_plate4_B5_rep_1_NA,treated,1285177.0,50495.0,1234682.0,0.039290307871989616,0.5873843185833536,0.368847398332252,0.25213453192309765,-0.3132811676477812,-0.6745
GSM4921266_P5_treated_8d_TALL_111017_plate4_B9_rep_1_NA,treated,602930.0,39155.0,563775.0,0.06494120378816778,0.009556919359438934,0.1602002511499085,-0.5317054865382342,-0.5306883532006791,-0.6745
GSM4921267_P5_treated_8d_TALL_111017_plate4_C10_rep_1_NA,treated,2313502.0,150924.0,2162578.0,0.06523616577811474,0.9008395432542384,1.339645941379347,0.9888686073214015,0.6250828149895856,-0.6745
GSM4921270_P5_treated_8d_TALL_111017_plate4_C1_rep_1_NA,treated,1161923.0,36152.0,1125771.0,0.031113937842696976,0.7723409651394704,0.7031086527023336,0.3694944171972316,-0.5988107976515973,6.155962166932732
GSM4921278_P5_treated_8d_TALL_111017_plate4_C9_rep_1_NA,treated,752831.0,45074.0,707757.0,0.05987266730514551,0.5467699779806245,0.5068051965181127,-0.09485804869945991,-0.4098633278646156,-0.6745
GSM4921292_P5_treated_8d_TALL_111017_plate4_E11_rep_1_NA,treated,3413369.0,382498.0,3030871.0,0.11205879001069032,2.1634958443415666,1.5503402825083739,1.364495331343757,1.4214906773963856,-0.6745
GSM4921293_P5_treated_8d_TALL_111017_plate4_E12_rep_1_NA,treated,817804.0,31918.0,785886.0,0.03902891157294413,0.258507477250014,0.3935360064846141,-0.07960164992325151,-0.705412244421461,3.872619482327573
GSM4921294_P5_treated_8d_TALL_111017_plate4_E1_rep_1_NA,treated,858138.0,28272.0,829866.0,0.03294574998426827,0.6699865190533572,0.01868783301045053,0.15602654229768975,-0.8092891699172117,-0.6745
GSM4921300_P5_treated_8d_TALL_111017_plate4_E7_rep_1_NA,treated,622971.0,32822.0,590149.0,0.052686240611521246,0.5503689062309524,0.4048193197831376,-0.31236414506580173,-0.6814945262465519,-0.6745
GSM4921304_P5_treated_8d_TALL_111017_plate4_F11_rep_1_NA,treated,403793.0,17746.0,386047.0,0.04394826061868334,0.24825479783649299,-0.4282746313020847,-1.3469229346157374,-1.2081573632126303,4.69452130317992
GSM4921307_P5_treated_8d_TALL_111017_plate4_F2_rep_1_NA,treated,877504.0,60140.0,817364.0,0.06853530012398804,0.12983093570974225,0.5963059930147976,0.10066926644681216,-0.1628879209209361,-0.6745
GSM4921314_P5_treated_8d_TALL_111017_plate4_F9_rep_1_NA,treated,586433.0,36503.0,549930.0,0.06224581495243276,0.23921663590927056,-0.02865728104184965,-0.6867952556156555,-0.5910754130848365,6.279241800665826
GSM4921318_P5_treated_8d_TALL_111017_plate4_G1_rep_1_NA,treated,876265.0,38436.0,837829.0,0.043863443136494096,0.5587616898103245,-0.11082782502826674,-0.26023047595078885,-0.5462758405192791,5.403572783782986
GSM4921320_P5_treated_8d_TALL_111017_plate4_G3_rep_1_NA,treated,437698.0,25605.0,412093.0,0.05849923920145854,-0.3421709392453875,-0.43866486996763926,-1.1467154685851224,-0.8941422813284525,5.90517162020926
GSM4921330_P5_treated_8d_TALL_111017_plate4_H1_rep_1_NA,treated,1794344.0,118316.0,1676028.0,0.06593830391496837,0.8444303873656578,0.5485093874337258,0.3132823627849805,0.41662050696986463,7.404899070282387
GSM4921331_P5_treated_8d_TALL_111017_plate4_H2_rep_1_NA,treated,724207.0,26591.0,697616.0,0.03671740262107381,0.6292209606277993,-0.3776012328684413,-0.2676672094303502,-0.8618163202482652,-0.6745
GSM4921332_P5_treated_8d_TALL_111017_plate4_H3_rep_1_NA,treated,471243.0,33450.0,437793.0,0.07098248674250864,-0.182065459353649,-0.5563957892145309,-1.058905776620011,-0.6652893758199565,-0.6745
GSM4921338_P5_treated_8d_TALL_111017_plate4_H9_rep_1_NA,treated,1406684.0,57173.0,1349511.0,0.04064381197198518,1.4147808621487594,-0.06067125572361845,0.12211662874035473,-0.20621563941604606,-0.6745
