gene_id,mean_a,mean_b,delta_mean_a_minus_b,detected_frac_a,detected_frac_b,delta_detected_frac_a_minus_b,u_statistic,p_value,group_a,group_b,q_value_bh,abs_delta_mean,is_ercc
ENSG00000170345,1298.7525835866234,360.53452380952325,938.2180597771,0.5288753799392155,0.3976190476190463,0.1312563323201692,2495144.0,3.107833995783664e-34,D2_1,D2_2,6.127842239599132e-34,938.2180597771,False
ENSG00000115053,1121.0577507598782,183.453571428571,937.6041793313073,0.9306990881459135,0.6829365079365056,0.2477625802094079,3390827.0,2.548980430652637e-267,D2_1,D2_2,4.446232910286133e-265,937.6041793313073,False
ENSG00000204525,1368.1489361702138,437.9595238095243,930.1894123606895,0.9933130699088332,0.9523809523809491,0.04093211752788406,3060390.0,1.9340018768741253e-149,D2_1,D2_2,2.8517702987529128e-148,930.1894123606895,False
ENSG00000163931,1045.7720364741651,122.83095238095221,922.9410840932129,0.8358662613981905,0.42896825396825256,0.406898007429938,3356047.5,2.544174683142008e-269,D2_1,D2_2,4.64917635550355e-267,922.9410840932129,False
ENSG00000124766,1024.1775075987832,103.49801587301592,920.6794917257673,0.8249240121580687,0.3119047619047609,0.5130192502533077,3422381.0,0.0,D2_1,D2_2,0.0,920.6794917257673,False
ENSG00000143933,1112.9744680851059,201.0559523809525,911.9185157041534,0.9306990881459135,0.6365079365079344,0.29419115163797915,3420135.0,1.5568094415471184e-280,D2_1,D2_2,4.0503432080929264e-278,911.9185157041534,False
ENSG00000152234,1092.418844984803,195.05476190476148,897.3640830800415,0.8753799392097418,0.5142857142857126,0.3610942249240292,3354979.0,6.696428617880096e-261,D2_1,D2_2,9.517609193005508e-259,897.3640830800415,False
ENSG00000044574,1190.979939209726,296.9749999999994,894.0049392097264,0.765957446808523,0.5246031746031729,0.2413542722053501,2955048.0,1.6859581585610833e-126,D2_1,D2_2,1.6959015553022693e-125,894.0049392097264,False
ENSG00000100129,1104.144072948329,221.7297619047618,882.4143110435673,0.9033434650456088,0.584920634920633,0.31842283012497585,3342866.5,7.910673110118872e-252,D2_1,D2_2,9.061853152263036e-250,882.4143110435673,False
ENSG00000147403,1276.0595744680827,397.3511904761911,878.7083839918917,0.9963525835866448,0.9424603174603142,0.05389226612633058,3348337.5,6.79218040548764e-248,D2_1,D2_2,7.141093782481868e-246,878.7083839918917,False
ENSG00000196230,970.0857142857129,92.68650793650801,877.3992063492049,0.853495440729498,0.4246031746031732,0.4288922661263248,3429344.5,5.095262353720541e-300,D2_1,D2_2,2.234636489417437e-297,877.3992063492049,False
ENSG00000169100,1099.003647416412,226.56904761904696,872.434599797365,0.9629179331307168,0.7444444444444419,0.21847348868627492,3437373.0,9.36724765556189e-285,D2_1,D2_2,2.8757450302575004e-282,872.434599797365,False
ENSG00000075415,1053.6851063829777,187.89166666666642,865.7934397163112,0.8844984802431767,0.567857142857141,0.3166413373860357,3370699.0,3.6794893116787622e-264,D2_1,D2_2,5.592095142006831e-262,865.7934397163112,False
ENSG00000204287,1269.8972644376897,404.11428571428564,865.7829787234041,0.4389057750759912,0.31785714285714184,0.12104863221884937,2428738.0,1.5132279080379652e-27,D2_1,D2_2,2.5849152446453113e-27,865.7829787234041,False
ENSG00000164924,1095.6389057750775,242.58055555555566,853.0583502195219,0.9908814589665839,0.8595238095238066,0.13135764944277728,3455523.0,4.0849211117678334e-291,D2_1,D2_2,1.6077830529650318e-288,853.0583502195219,False
ENSG00000187109,1023.3392097264417,180.72619047619017,842.6130192502516,0.9416413373860354,0.7015873015872992,0.2400540357987362,3396998.0,3.039501102912764e-269,D2_1,D2_2,5.488981403495403e-267,842.6130192502516,False
ENSG00000117289,1518.2620060790266,684.2837301587305,833.9782759202961,0.9313069908814758,0.8297619047619019,0.10154508611957391,2791082.5,3.822130438542682e-80,D2_1,D2_2,1.7925359679691467e-79,833.9782759202961,False
ENSG00000124193,1003.567173252279,171.72261904761922,831.8445542046597,0.8917933130699246,0.5392857142857125,0.3525075987842121,3368759.5,1.5573042437609337e-264,D2_1,D2_2,2.439246953237789e-262,831.8445542046597,False
ENSG00000112081,1017.9775075987835,195.93373015872965,822.0437774400539,0.9392097264437861,0.6753968253968231,0.263812901046963,3432832.5,1.5325060731598377e-284,D2_1,D2_2,4.612542788824218e-282,822.0437774400539,False
ENSG00000067560,1012.3063829787237,191.5960317460314,820.7103512326923,0.9623100303951545,0.7027777777777754,0.2595322526173791,3480851.5,8.088335887267178e-304,D2_1,D2_2,3.879873620923474e-301,820.7103512326923,False
ENSG00000131051,1077.6285714285718,281.7992063492059,795.829365079366,0.9908814589665839,0.8666666666666637,0.12421479229992016,3443457.0,4.569946243844754e-286,D2_1,D2_2,1.4925249966599354e-283,795.829365079366,False
ENSG00000119335,920.2127659574468,124.45238095238071,795.760385005066,0.9598784194529052,0.6718253968253945,0.28805302262751065,3519765.0,0.0,D2_1,D2_2,0.0,795.760385005066,False
ENSG00000100650,969.813373860184,183.48373015873048,786.3296437014535,0.9671732522796531,0.7825396825396799,0.18463356973997325,3467284.0,9.793910261189418e-297,D2_1,D2_2,4.176014514146044e-294,786.3296437014535,False
ENSG00000135821,968.7404255319141,189.77976190476164,778.9606636271524,0.8364741641337529,0.3718253968253956,0.46464876730835725,3356596.0,4.536351906491492e-275,D2_1,D2_2,9.6712502450895e-273,778.9606636271524,False
ENSG00000110321,948.7884498480248,173.7361111111104,775.0523387369144,0.9422492401215977,0.6670634920634898,0.2751857480581079,3375410.0,2.363487945564723e-261,D2_1,D2_2,3.422598109850801e-259,775.0523387369144,False
ENSG00000137818,1248.349544072949,473.8281746031754,774.5213694697735,0.9927051671732708,0.9317460317460285,0.060959135427242295,3273844.5,4.884664038225278e-220,D2_1,D2_2,2.797746006968583e-218,774.5213694697735,False
ENSG00000113648,890.4431610942252,118.1944444444441,772.248716649781,0.9355623100304121,0.5218253968253951,0.41373691320501704,3509823.0,0.0,D2_1,D2_2,0.0,772.248716649781,False
ENSG00000030582,866.2498480243165,94.14047619047616,772.1093718338403,0.47416413373860616,0.21746031746031677,0.2567038162782894,2698785.5,1.3404857397564502e-88,D2_1,D2_2,7.304386263848601e-88,772.1093718338403,False
ENSG00000100201,976.4838905775067,206.17023809523826,770.3136524822685,0.9811550151975866,0.8503968253968225,0.13075818980076415,3373222.0,8.304787385645698e-258,D2_1,D2_2,1.089559712561209e-255,770.3136524822685,False
ENSG00000167526,1398.7829787234018,636.5357142857141,762.2472644376877,0.9969604863222071,0.945238095238092,0.05172239108411514,3179704.5,3.334745821775594e-187,D2_1,D2_2,9.323925020811543e-186,762.2472644376877,False
ENSG00000088448,954.6364741641343,195.60238095238026,759.034093211754,0.9349544072948498,0.6464285714285692,0.28852583586628056,3403965.5,1.6174212286101515e-273,D2_1,D2_2,3.3550561971845705e-271,759.034093211754,False
ENSG00000158710,914.5458966565344,163.39761904761917,751.1482776089152,0.9124620060790437,0.6555555555555533,0.25690645052349037,3348598.5,1.4548510235983813e-251,D2_1,D2_2,1.654219497202604e-249,751.1482776089152,False
ENSG00000161016,1139.289969604861,390.6150793650794,748.6748902397816,0.9714285714285894,0.8261904761904734,0.14523809523811604,3248471.0,3.0771541255885413e-211,D2_1,D2_2,1.4184479227562795e-209,748.6748902397816,False
ENSG00000196684,839.3379939209725,91.36428571428581,747.9737082066868,0.8079027355623235,0.3468253968253957,0.4610773387369278,3373178.5,2.3173863889168832e-287,D2_1,D2_2,8.272530481366082e-285,747.9737082066868,False
ENSG00000133112,1062.4680851063838,323.680158730159,738.7879263762247,0.9957446808510825,0.9265873015872984,0.06915737926378407,3308359.0,9.624465533588666e-233,D2_1,D2_2,7.654691499512231e-231,738.7879263762247,False
ENSG00000135535,841.8060790273555,105.11349206349207,736.6925869638634,0.8401215805471268,0.48095238095237935,0.35916919959474747,3283983.5,2.790032221073223e-236,D2_1,D2_2,2.433351965538294e-234,736.6925869638634,False
ENSG00000086730,856.2322188449849,122.49007936507924,733.7421394799056,0.8018237082067002,0.288888888888888,0.5129348193178123,3387865.0,6.783237048244173e-303,D2_1,D2_2,3.155232990622668e-300,733.7421394799056,False
ENSG00000130066,1076.0346504559268,343.3888888888881,732.6457615670387,0.699088145896667,0.5202380952380935,0.1788500506585735,2735069.0,3.7806772260097045e-73,D2_1,D2_2,1.5516950646858012e-72,732.6457615670387,False
ENSG00000115524,957.0352583586634,229.08015873015833,727.9550996285051,0.91671732522798,0.70238095238095,0.21433637284703,3215969.0,1.8891926955691935e-201,D2_1,D2_2,7.160273549873363e-200,727.9550996285051,False
ENSG00000196531,1008.3817629179321,282.8376984126979,725.5440645052342,0.9829787234042736,0.8154761904761877,0.16750253292808592,3371231.0,3.3172773587966918e-257,D2_1,D2_2,4.315271818434679e-255,725.5440645052342,False
ENSG00000078596,904.8729483282667,189.87063492063447,715.0023134076323,0.6996960486322293,0.3813492063492051,0.31834684228302423,3020637.5,2.7762875531404077e-156,D2_1,D2_2,4.5823670903984144e-155,715.0023134076323,False
ENSG00000213719,924.9191489361718,214.0396825396823,710.8794663964895,0.9209726443769163,0.576984126984125,0.34398851739279124,3408878.5,2.6726791918574733e-278,D2_1,D2_2,6.311634706924956e-276,710.8794663964895,False
ENSG00000245532,1142.0042553191502,438.47896825396856,703.5252870651816,0.9404255319149107,0.7825396825396799,0.15788584937523087,2873201.0,3.3222550672566177e-99,D2_1,D2_2,2.1840092198025303e-98,703.5252870651816,False
ENSG00000115232,912.1677811550152,213.7075396825398,698.4602414724754,0.8996960486322348,0.6595238095238073,0.24017223910842755,3228020.0,9.681429338685073e-207,D2_1,D2_2,4.071505215036052e-205,698.4602414724754,False
ENSG00000167552,858.4224924012158,170.14444444444416,688.2780479567716,0.9075987841945451,0.4773809523809508,0.4302178318135943,3405459.0,1.046592117864527e-282,D2_1,D2_2,3.0311677375887715e-280,688.2780479567716,False
ENSG00000171862,762.2954407294822,75.74087301587319,686.554567713609,0.8735562310030548,0.46230158730158577,0.411254643701469,3398159.0,2.9147481363413505e-282,D2_1,D2_2,8.285441461636987e-280,686.554567713609,False
ENSG00000138293,785.5039513677818,100.61587301587284,684.888078351909,0.7811550151975811,0.3734126984126972,0.40774231678488393,3248849.0,1.7122355851101643e-234,D2_1,D2_2,1.4130546360989797e-232,684.888078351909,False
ENSG00000072274,769.9525835866258,96.34007936507939,673.6125042215464,0.8370820668693152,0.4599206349206334,0.3771614319486818,3350141.5,2.9012208178677407e-264,D2_1,D2_2,4.4983575307343257e-262,673.6125042215464,False
ENSG00000026508,891.505775075986,222.34285714285647,669.1629179331295,0.7914893617021407,0.740476190476188,0.051013171225952725,2849183.5,2.2246249031840032e-94,D2_1,D2_2,1.3459989067352956e-93,669.1629179331295,False
ENSG00000152795,877.8911854103357,210.8349206349204,667.0562647754152,0.9434650455927224,0.7019841269841246,0.24148091860859777,3270677.0,1.0840260191112619e-220,D2_1,D2_2,6.326919921428848e-219,667.0562647754152,False
ENSG00000139644,862.783586626142,197.57738095238076,665.2062056737612,0.8784194528875534,0.6031746031746011,0.27524484971295227,3209758.0,3.5986181232536974e-202,D2_1,D2_2,1.3809697047986064e-200,665.2062056737612,False
ENSG00000163131,794.6036474164142,130.24206349206347,664.3615839243507,0.6534954407294925,0.4361111111111097,0.21738432961838283,2715278.5,5.045436185168919e-72,D2_1,D2_2,2.023183005285865e-71,664.3615839243507,False
ENSG00000099783,815.2060790273551,152.74484126984112,662.461237757514,0.8954407294832986,0.6027777777777757,0.2926629517055228,3281588.5,6.951412456872701e-228,D2_1,D2_2,4.721423947477697e-226,662.461237757514,False
ENSG00000142676,1032.285106382979,371.16031746031723,661.1247889226618,0.9896656534954592,0.9023809523809493,0.08728470111450992,3292870.0,4.937026020964007e-227,D2_1,D2_2,3.280664477134091e-225,661.1247889226618,False
ENSG00000198786,1214.6601823708213,555.6559523809532,659.0042299898681,0.9975683890577695,0.9440476190476158,0.05352077001015365,3172124.0,1.1185732693847786e-184,D2_1,D2_2,2.965474902427694e-183,659.0042299898681,False
ENSG00000143761,850.0267477203662,196.67063492063514,653.356112799731,0.8601823708206836,0.5674603174603156,0.29272205336036805,3228137.0,2.227527006352372e-210,D2_1,D2_2,1.002713769721669e-208,653.356112799731,False
ENSG00000142937,1074.3671732522794,421.5547619047621,652.8124113475174,0.9908814589665839,0.8999999999999969,0.09088145896658695,3288566.0,1.8844592890175665e-225,D2_1,D2_2,1.2052687536008185e-223,652.8124113475174,False
ENSG00000198755,918.9179331306991,268.73571428571324,650.1822188449859,0.9829787234042736,0.8424603174603146,0.14051840594395903,3336167.5,1.788483626202875e-243,D2_1,D2_2,1.7826768611827355e-241,650.1822188449859,False
