gene_id,mean_a,mean_b,delta_mean_a_minus_b,detected_frac_a,detected_frac_b,delta_detected_frac_a_minus_b,u_statistic,p_value,group_a,group_b,q_value_bh,abs_delta_mean,is_ercc
ENSG00000131634,6.337993920972647,7.734920634920642,-1.3969267139479955,0.029179331306990863,0.06150793650793636,-0.03232860520094549,2006111.5,2.545058411589394e-06,D2_1,D2_2,2.7246928872853392e-06,1.3969267139479955,False
ENSG00000264198,30.521580547112467,31.855952380952484,-1.3343718338400166,0.10516717325227996,0.28373015873015783,-0.17856298547787786,1709792.5,1.075233279382527e-40,D2_1,D2_2,2.41228161919348e-40,1.3343718338400166,False
ENSG00000077238,13.189665653495426,14.50317460317466,-1.3135089496792336,0.13556231003039537,0.17301587301587248,-0.03745356298547711,2003560.0,0.00411672808203154,D2_1,D2_2,0.004236225518481205,1.3135089496792336,False
ENSG00000211959,2.7209726443769027,4.014285714285719,-1.293313069908816,0.08206686930091207,0.021825396825396814,0.060241472475515256,2197753.5,7.65877935548976e-20,D2_1,D2_2,1.102628616645731e-19,1.293313069908816,False
ENSG00000073861,4.527051671732523,5.820238095238094,-1.2931864235055706,0.03039513677811548,0.07103174603174585,-0.04063660925363037,1989360.0,2.6775872727869887e-08,D2_1,D2_2,2.956691219141089e-08,1.2931864235055706,False
ENSG00000229456,5.026747720364742,6.31388888888891,-1.287141168524168,0.03708206686930092,0.06388888888888873,-0.02680682201958781,2017697.5,0.00019565965295013595,D2_1,D2_2,0.00020436688029290873,1.287141168524168,False
ENSG00000150687,4.510638297872342,5.746031746031751,-1.2353934481594093,0.023708206686930078,0.05079365079365068,-0.027085444106720605,2016390.0,1.2596035384306282e-05,D2_1,D2_2,1.3351919283827182e-05,1.2353934481594093,False
ENSG00000205808,9.258358662613983,10.487698412698418,-1.229339750084435,0.05653495440729493,0.027777777777777745,0.028757176629517187,2132910.0,2.3112910244226913e-06,D2_1,D2_2,2.476844263117028e-06,1.229339750084435,False
ENSG00000245904,4.765957446808514,5.984920634920651,-1.218963188112137,0.048632218844984865,0.05714285714285701,-0.008510638297872145,2055068.5,0.23449438321151717,D2_1,D2_2,0.23666833994981842,1.218963188112137,False
ENSG00000104804,4.978723404255323,6.122222222222244,-1.143498817966921,0.06808510638297888,0.05515873015873003,0.012926376224248845,2100255.5,0.0782267037147866,D2_1,D2_2,0.0794114081093826,1.143498817966921,False
ENSG00000207306,1.1173252279635262,2.2376984126984105,-1.1203731847348843,0.015197568389057746,0.06785714285714269,-0.05265957446808494,1964410.0,7.280304576100533e-15,D2_1,D2_2,9.246456664168722e-15,1.1203731847348843,False
ENSG00000196092,6.906990881458971,8.026984126984148,-1.119993245525177,0.06990881458966582,0.0408730158730158,0.02903579871665002,2134062.0,2.7760888573811836e-05,D2_1,D2_2,2.9285247722356657e-05,1.119993245525177,False
