cell_id,total_counts,detected_genes,mito_counts,mito_fraction,ribo_counts,ribo_fraction,log10_total_counts,log10_detected_genes,state_domain
GSM4916544_ND1_untreated_070218_plate1_D5_S34_rep1_NA,289710.0,608.0,29470.0,0.10172241206723966,61391.0,0.2119050084567326,5.461963486124938,2.783903579272735,D2
GSM4916545_ND1_untreated_070218_plate1_D6_S42_rep1_NA,1734365.0,2675.0,237673.0,0.13703747481066558,154639.0,0.08916173931092936,6.239140500755296,3.427323786357247,D2
GSM4916546_ND1_untreated_070218_plate1_D7_S50_rep1_NA,3083129.0,2519.0,436546.0,0.1415918698179674,373316.0,0.12108348369464916,6.488991696252979,3.401228167498113,D2
GSM4916547_ND1_untreated_070218_plate1_D8_S58_rep1_NA,2142993.0,2255.0,366030.0,0.1708031710789536,245751.0,0.11467652950802919,6.331020752438778,3.3531465462139796,D2
GSM4916548_ND1_untreated_070218_plate1_D9_S66_rep1_NA,5030372.0,2268.0,746760.0,0.1484502537784482,924559.0,0.18379535350467122,6.701600102664966,3.355643050220869,D2
GSM4916549_ND1_untreated_070218_plate1_E10_S75_rep1_NA,5797830.0,2987.0,836747.0,0.1443207199935148,375963.0,0.06484546804580335,6.763265477120339,3.475235222604128,D2
GSM4916550_ND1_untreated_070218_plate1_E11_S83_rep1_NA,29.0,13.0,16.0,0.5517241379310345,0.0,0.0,1.462397997898956,1.1139433523068367,D1
GSM4916551_ND1_untreated_070218_plate1_E12_S91_rep1_NA,16.0,12.0,5.0,0.3125,1.0,0.0625,1.2041199826559248,1.0791812460476249,D1
GSM4916552_ND1_untreated_070218_plate1_E1_S5_rep1_NA,1502158.0,4344.0,172198.0,0.11463374691610337,93557.0,0.062281730683456736,6.176715615037854,3.6378898165807905,D2
GSM4916553_ND1_untreated_070218_plate1_E2_S13_rep1_NA,1245650.0,3608.0,233017.0,0.18706458475494722,91762.0,0.0736659575322121,6.095396032354121,3.557266528869904,D2
GSM4916554_ND1_untreated_070218_plate1_E3_S20_rep1_NA,1502842.0,3615.0,160148.0,0.10656343115244317,55714.0,0.03707242677540287,6.1769133238104015,3.5581083016305497,D2
GSM4916555_ND1_untreated_070218_plate1_E4_S27_rep1_NA,580924.0,2273.0,286315.0,0.49286137257197155,20465.0,0.03522836033629184,5.764119319069199,3.356599435724971,D2
GSM4916556_ND1_untreated_070218_plate1_E5_S35_rep1_NA,749500.0,305.0,709236.0,0.946278852568379,2073.0,0.0027658438959306205,5.874771637184298,2.484299839346786,D1
GSM4916557_ND1_untreated_070218_plate1_E6_S43_rep1_NA,1545891.0,4037.0,212089.0,0.13719531325300424,55342.0,0.03579941923460322,6.189178868775462,3.6060587494103142,D2
GSM4916558_ND1_untreated_070218_plate1_E7_S51_rep1_NA,3378244.0,4276.0,478191.0,0.14155016629941472,145519.0,0.043075337364619014,6.528691014100185,3.6310376965367404,D2
GSM4916559_ND1_untreated_070218_plate1_E8_S59_rep1_NA,1107853.0,3751.0,130240.0,0.11756072330895886,49865.0,0.04501048424294559,6.044482138078175,3.574147064150723,D2
GSM4916560_ND1_untreated_070218_plate1_E9_S67_rep1_NA,2012513.0,4190.0,244516.0,0.1214978487095487,75622.0,0.03757590634197146,6.30373869441135,3.622214022966295,D2
GSM4916561_ND1_untreated_070218_plate1_F10_S76_rep1_NA,7683400.0,2714.0,508432.0,0.0661727880886066,605659.0,0.07882695160996434,6.885553443271495,3.433609843323718,D2
GSM4916562_ND1_untreated_070218_plate1_F11_S84_rep1_NA,3068773.0,3576.0,458541.0,0.14942160922296957,148216.0,0.04829813088162598,6.486964764452185,3.55339751012388,D2
GSM4916563_ND1_untreated_070218_plate1_F12_S92_rep1_NA,3104575.0,3104.0,429775.0,0.1384327967596209,158761.0,0.05113775637567139,6.492002155949663,3.491921712586151,D2
GSM4916564_ND1_untreated_070218_plate1_F1_S6_rep1_NA,399030.0,1783.0,249843.0,0.6261258551988572,12136.0,0.030413753351878306,5.60100554817967,3.2511513431753545,D2
GSM4916565_ND1_untreated_070218_plate1_F3_S21_rep1_NA,1685544.0,1920.0,185545.0,0.11008018776133996,112172.0,0.0665494344852463,6.2267400939722615,3.2833012287035497,D2
GSM4916566_ND1_untreated_070218_plate1_F4_S28_rep1_NA,1051838.0,2280.0,537282.0,0.5108029943774611,27471.0,0.026117139711628597,6.021948856620242,3.357934847000454,D2
GSM4916567_ND1_untreated_070218_plate1_F5_S36_rep1_NA,1871268.0,2973.0,221159.0,0.11818670548526454,52738.0,0.028183028833924376,6.272135990913207,3.473194909204938,D2
GSM4916568_ND1_untreated_070218_plate1_F6_S44_rep1_NA,314091.0,1201.0,90196.0,0.2871651846121029,8244.0,0.026247170406028825,5.497055492252258,3.079543007402906,D2
GSM4916569_ND1_untreated_070218_plate1_F7_S52_rep1_NA,1410968.0,3097.0,179509.0,0.12722400508020026,49769.0,0.035272947366630565,6.1495171642993425,3.490941205356787,D2
GSM4916570_ND1_untreated_070218_plate1_F8_S60_rep1_NA,9606214.0,3096.0,773172.0,0.08048665166110186,902559.0,0.09395574572875433,6.982552257296063,3.490800952010855,D2
GSM4916571_ND1_untreated_070218_plate1_F9_S68_rep1_NA,8370646.0,2936.0,1192564.0,0.14246976876097736,361863.0,0.04322999682461784,6.92275897572435,3.467756051244033,D2
GSM4916572_ND1_untreated_070218_plate1_G10_S77_rep1_NA,339884.0,3972.0,25958.0,0.07637311553353497,14326.0,0.042149674594861776,5.5313307207017335,3.5990092398233435,D2
GSM4916573_ND1_untreated_070218_plate1_G11_S85_rep1_NA,1847923.0,3001.0,202892.0,0.10979461806579603,256616.0,0.13886725799722174,6.266683870903673,3.477265995424853,D2
GSM4916574_ND1_untreated_070218_plate1_G12_S93_rep1_NA,644015.0,465.0,297082.0,0.4612967089275871,136.0,0.00021117520554645466,5.808895982796711,2.667452952889954,D1
GSM4916575_ND1_untreated_070218_plate1_G1_S7_rep1_NA,1431547.0,1757.0,159729.0,0.11157789440374644,197469.0,0.13794098272707778,6.155805611180928,3.244771761495295,D2
GSM4916576_ND1_untreated_070218_plate1_G2_S14_rep1_NA,1157881.0,1417.0,436865.0,0.3772969761141257,59691.0,0.05155192977516688,6.063663927527006,3.1513698502474603,D2
GSM4916577_ND1_untreated_070218_plate1_G3_S22_rep1_NA,403891.0,2985.0,53975.0,0.13363754082165732,26067.0,0.06453969016393037,5.606264175789732,3.4749443354653877,D2
GSM4916578_ND1_untreated_070218_plate1_G4_S29_rep1_NA,430487.0,1893.0,38323.0,0.08902243273316035,15737.0,0.03655627231484342,5.633960041007998,3.277150613963797,D2
GSM4916579_ND1_untreated_070218_plate1_G5_S37_rep1_NA,957504.0,2381.0,45168.0,0.047172648887106476,81410.0,0.0850231435064501,5.981140596921913,3.37675939540488,D2
GSM4916580_ND1_untreated_070218_plate1_G6_S45_rep1_NA,1039074.0,2847.0,101729.0,0.09790351794001197,77203.0,0.07429980925323894,6.0166464779202675,3.454387467146955,D2
GSM4916581_ND1_untreated_070218_plate1_G7_S53_rep1_NA,1438530.0,3260.0,86490.0,0.06012387645721674,60581.0,0.042113129375126,6.157918923368229,3.513217600067939,D2
GSM4916582_ND1_untreated_070218_plate1_G8_S61_rep1_NA,3603533.0,2353.0,206643.0,0.05734455602321389,1111740.0,0.30851389455847916,6.556728503543312,3.3716219271760215,D2
GSM4916583_ND1_untreated_070218_plate1_G9_S69_rep1_NA,1510526.0,3840.0,134021.0,0.08872472238147507,119506.0,0.0791154869230983,6.179128204987882,3.584331224367531,D2
