gene_id,mean_d1,mean_d2,delta_mean_d1_minus_d2,detected_frac_d1,detected_frac_d2,delta_detected_frac_d1_minus_d2,u_statistic,p_value,q_value_bh,abs_delta_mean,is_ercc,gene_id_stripped,gene_symbol,gene_biotype,is_mito,is_ribo,is_hla
ENSG00000187068,1.2633279483037156,0.6569027611044393,0.6064251871992763,0.0096930533117932,0.0708283313325326,-0.0611352780207393,2421105.0,4.527954249403688e-16,4.856399100758893e-16,0.6064251871992763,False,ENSG00000187068,C3orf70,protein_coding,False,False,False
ENSG00000258033,0.7059773828756059,0.1279711884753899,0.578006194400216,0.0016155088852988,0.053301320528211,-0.0516858116429122,2444946.5,1.2139906025805933e-15,1.2847760672466637e-15,0.578006194400216,False,ENSG00000258033,SNX5P2,unprocessed_pseudogene,False,False,False
ENSG00000213750,0.691437802907916,0.1572629051620651,0.5341748977458508,0.0032310177705977,0.0753901560624245,-0.0721591382918267,2392282.0,3.141493933323078e-21,3.803046941483291e-21,0.5341748977458508,False,ENSG00000213750,ENSG00000213750,processed_pseudogene,False,False,False
ENSG00000236582,0.7027463651050081,0.2196878751500602,0.4830584899549478,0.0016155088852988,0.0710684273709479,-0.0694529184856491,2399372.0,6.745146574373056e-21,8.10408415587793e-21,0.4830584899549478,False,ENSG00000236582,PRPF38AP2,processed_pseudogene,False,False,False
ENSG00000202198,1.1542810985460423,0.7190876350540215,0.4351934634920208,0.0072697899838449,0.074429771908763,-0.0671599819249181,2404832.0,1.3159677742235806e-18,1.5079137742765857e-18,0.4351934634920208,False,ENSG00000202198,7SK,misc_RNA,False,False,False
ENSG00000230783,0.8126009693053313,0.4081632653061213,0.40443770399921,0.0040387722132471,0.0595438175270105,-0.0555050453137633,2435178.0,5.253087752034126e-16,5.62293158448911e-16,0.40443770399921,False,ENSG00000230783,RPS3AP13,processed_pseudogene,False,True,False
ENSG00000184612,0.5686591276252021,0.1805522208883557,0.3881069067368464,0.0048465266558966,0.0948379351740689,-0.0899914085181723,2346489.5,3.631438568486919e-26,4.857580024899747e-26,0.3881069067368464,False,ENSG00000184612,RPL7P26,processed_pseudogene,False,True,False
ENSG00000188536,2.0032310177705983,1.6194477791116455,0.3837832386589526,0.0662358642972535,0.042016806722689,0.0242190575745645,2640434.0,0.0004558334820329,0.0004568941354465,0.3837832386589526,False,ENSG00000188536,HBA2,protein_coding,False,False,False
ENSG00000231531,0.6405492730210017,0.3356542617046813,0.3048950113163204,0.005654281098546,0.1150060024009594,-0.1093517213024134,2296479.5,4.854810236969071e-32,7.202240006009793e-32,0.3048950113163204,False,ENSG00000231531,HINT1P1,processed_pseudogene,False,False,False
ENSG00000240854,0.6276252019386107,0.3416566626650666,0.285968539273544,0.0016155088852988,0.1001200480192069,-0.098504539133908,2324594.0,7.742960585565832e-30,1.1059049474720077e-29,0.285968539273544,False,ENSG00000240854,PSMC2P1,processed_pseudogene,False,False,False
