Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Regulation Of Lymphocyte Apoptotic Process (GO:0070228),1/7,0.0540141765073125,0.4370186723946854,0,0,21.05732484076433,61.45598656687102,CD3G
GO_Biological_Process_2023,Regulation Of Golgi To Plasma Membrane Protein Transport (GO:0042996),1/7,0.0540141765073125,0.4370186723946854,0,0,21.05732484076433,61.45598656687102,RACK1
GO_Biological_Process_2023,Positive Regulation Of Translation (GO:0045727),3/108,0.0541846633436639,0.4370186723946854,0,0,3.63815668202765,10.606526913327,RPS4X;RPL5;PABPC1
GO_Biological_Process_2023,Interferon-Mediated Signaling Pathway (GO:0140888),2/49,0.05728420082272,0.4370186723946854,0,0,5.399618112384069,15.441452175787814,IFITM1;IFI27
GO_Biological_Process_2023,Negative Regulation Of Leukocyte Degranulation (GO:0043301),1/8,0.0614900644575436,0.4370186723946854,0,0,18.048225659690623,50.33432963554095,CD84
GO_Biological_Process_2023,Positive Regulation Of Monocyte Chemotactic Protein-1 Production (GO:0071639),1/8,0.0614900644575436,0.4370186723946854,0,0,18.048225659690623,50.33432963554095,CD84
GO_Biological_Process_2023,Negative Regulation Of Oxidative Stress-Induced Neuron Death (GO:1903204),1/8,0.0614900644575436,0.4370186723946854,0,0,18.048225659690623,50.33432963554095,RACK1
GO_Biological_Process_2023,Regulation Of Interleukin-18 Production (GO:0032661),1/8,0.0614900644575436,0.4370186723946854,0,0,18.048225659690623,50.33432963554095,CD84
GO_Biological_Process_2023,Regulation Of Intrinsic Apoptotic Signaling Pathway By P53 Class Mediator (GO:1902253),1/8,0.0614900644575436,0.4370186723946854,0,0,18.048225659690623,50.33432963554095,RPS7
GO_Biological_Process_2023,Positive Regulation Of Respiratory Burst (GO:0060267),1/8,0.0614900644575436,0.4370186723946854,0,0,18.048225659690623,50.33432963554095,JCHAIN
GO_Biological_Process_2023,Negative Regulation Of Protein Modification By Small Protein Conjugation Or Removal (GO:1903321),2/54,0.0679669957567317,0.4411862509871771,0,0,4.879191321499014,13.118842954352685,RPL5;RPS3
GO_Biological_Process_2023,Negative Regulation Of Extracellular Matrix Organization (GO:1903054),1/9,0.0689072444303956,0.4411862509871771,0,0,15.79140127388535,42.24190306488084,DPP4
GO_Biological_Process_2023,Regulation Of Endoplasmic Reticulum Unfolded Protein Response (GO:1900101),1/9,0.0689072444303956,0.4411862509871771,0,0,15.79140127388535,42.24190306488084,RACK1
GO_Biological_Process_2023,Regulation Of Mast Cell Activation (GO:0033003),1/9,0.0689072444303956,0.4411862509871771,0,0,15.79140127388535,42.24190306488084,CD84
GO_Biological_Process_2023,Regulation Of Store-Operated Calcium Entry (GO:2001256),1/9,0.0689072444303956,0.4411862509871771,0,0,15.79140127388535,42.24190306488084,CD84
GO_Biological_Process_2023,CRD-mediated mRNA Stabilization (GO:0070934),1/10,0.0762661742978172,0.4411862509871771,0,0,14.036093418259023,36.12224803851215,PABPC1
GO_Biological_Process_2023,Negative Regulation Of Hydrogen Peroxide-Induced Cell Death (GO:1903206),1/10,0.0762661742978172,0.4411862509871771,0,0,14.036093418259023,36.12224803851215,RACK1
GO_Biological_Process_2023,Regulation Of Mitochondrial Depolarization (GO:0051900),1/10,0.0762661742978172,0.4411862509871771,0,0,14.036093418259023,36.12224803851215,RACK1
GO_Biological_Process_2023,"Regulation Of Nuclear-Transcribed mRNA Catabolic Process, Nonsense-Mediated Decay (GO:2000622)",1/10,0.0762661742978172,0.4411862509871771,0,0,14.036093418259023,36.12224803851215,PABPC1
GO_Biological_Process_2023,Protein auto-ADP-ribosylation (GO:0070213),1/10,0.0762661742978172,0.4411862509871771,0,0,14.036093418259023,36.12224803851215,PARP8
GO_Biological_Process_2023,Regulation Of Respiratory Burst (GO:0060263),1/10,0.0762661742978172,0.4411862509871771,0,0,14.036093418259023,36.12224803851215,JCHAIN
GO_Biological_Process_2023,Receptor-Mediated Endocytosis Of Virus By Host Cell (GO:0019065),1/10,0.0762661742978172,0.4411862509871771,0,0,14.036093418259023,36.12224803851215,DPP4
GO_Biological_Process_2023,Regulation Of Translation (GO:0006417),4/202,0.0764870636133548,0.4411862509871771,0,0,2.5769382133018497,6.62436409936752,RPS4X;RPL5;RACK1;RPS3
GO_Biological_Process_2023,Protein-Containing Complex Organization (GO:0043933),3/126,0.0781401499762776,0.4442825670079786,0,0,3.1029110936270654,7.910100046216527,CD3G;CD3E;JCHAIN
GO_Biological_Process_2023,"Negative Regulation Of Nuclear-Transcribed mRNA Catabolic Process, Deadenylation-Dependent Decay (GO:1900152)",1/11,0.0835673084792737,0.4619415107604298,0,0,12.631847133757962,31.35354417908075,PABPC1
GO_Biological_Process_2023,Regulation Of Monocyte Chemotactic Protein-1 Production (GO:0071637),1/11,0.0835673084792737,0.4619415107604298,0,0,12.631847133757962,31.35354417908075,CD84
