Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Molecular_Function_2023,Microtubule Plus-End Binding (GO:0051010),6/19,0.000198232668340326,0.0036734991351816,0,0,9.134715440646762,77.88321527979981,CLIP2;CLIP1;TBCB;MAPRE1;CLASP1;PAFAH1B1
GO_Molecular_Function_2023,Transcription Regulatory Region Nucleic Acid Binding (GO:0001067),24/224,0.0002279139723827132,0.0040955450188772,0,0,2.3965641569459173,20.098886711213456,KDM5A;KMT2D;RNF10;MEF2C;JUN;CALCOCO1;JUND;ATF6B;TCF7;ARID4A;ARID4B;FOS;MACROH2A1;HNRNPL;YY1;PER1;SFPQ;REST;TBL1XR1;TAF7;TAF2;CDK5RAP2;ATF4;BRD4
GO_Molecular_Function_2023,GTPase Binding (GO:0051020),24/225,0.00024372114577674248,0.0042507835131061,0,0,2.3845143318402684,19.837933198500775,DOCK5;RALBP1;ATP6AP1;USP33;ARHGAP1;BRAF;MYO9B;IQGAP1;YBX1;GAPVD1;CYRIB;SORL1;UNC13D;AKAP13;GGA1;GOLGA4;FMNL1;AP1G1;PPP6R1;RAB3GAP2;DENND5A;IARS1;DOCK2;RAB3GAP1
GO_Molecular_Function_2023,Small GTPase Binding (GO:0031267),22/199,0.0002632691109216315,0.0044605309364722,0,0,2.480088482348369,20.441717158511008,DOCK5;RALBP1;ATP6AP1;USP33;ARHGAP1;BRAF;MYO9B;IQGAP1;GAPVD1;CYRIB;SORL1;UNC13D;AKAP13;GGA1;GOLGA4;FMNL1;AP1G1;PPP6R1;RAB3GAP2;DENND5A;DOCK2;RAB3GAP1
GO_Molecular_Function_2023,Protein Phosphatase Activator Activity (GO:0072542),5/15,0.000522992401795057,0.0086148470629019,0,0,9.887214137214135,74.70723260063181,PPP1R15A;PTPA;PPP4R3A;CALM3;PHACTR4
GO_Molecular_Function_2023,Cysteine-Type Peptidase Activity (GO:0008234),17/144,0.0006004610479024194,0.0092614193566762,0,0,2.6639204309987567,19.76046303036804,USP24;USP8;USP36;USP47;USP14;USP16;USP20;USP10;USP9X;USP3;USP33;USP34;CYLD;SENP5;ATG4B;CTSD;CTSC
GO_Molecular_Function_2023,Chromatin DNA Binding (GO:0031490),12/83,0.0006210949638750141,0.0092614193566762,0,0,3.35585871248433,24.779749887506377,TOX4;SUZ12;SBNO1;PER1;WBP2;JMJD1C;EP300;ACTN4;TOX;MACROH2A1;KDM6A;SMARCA4
GO_Molecular_Function_2023,Acetylation-Dependent Protein Binding (GO:0140033),6/23,0.0006247163141096945,0.0092614193566762,0,0,6.983901573116239,51.52871273982141,PSME4;BAZ2A;PHIP;ZZEF1;SMARCA4;BRD4
GO_Molecular_Function_2023,Lysine-Acetylated Histone Binding (GO:0070577),6/23,0.0006247163141096945,0.0092614193566762,0,0,6.983901573116239,51.52871273982141,PSME4;BAZ2A;PHIP;ZZEF1;SMARCA4;BRD4
GO_Molecular_Function_2023,Nuclear Localization Sequence Binding (GO:0008139),6/24,0.0007991723658144971,0.0115587612909267,0,0,6.595560180367673,47.03909929616014,NUP214;NFKBIA;POM121;KPNA6;NUP58;KPNA1
GO_Molecular_Function_2023,Cysteine-Type Deubiquitinase Activity (GO:0004843),13/98,0.0008654677636869403,0.0122195805682465,0,0,3.0376618571957086,21.422321761760237,USP24;USP8;USP36;USP47;USP14;USP16;USP20;USP10;USP9X;USP3;USP33;USP34;CYLD
GO_Molecular_Function_2023,Purine Ribonucleoside Triphosphate Binding (GO:0035639),39/476,0.0009601134651377012,0.0132406345308524,0,0,1.7883591099187248,12.426340109269326,ARF1;RAB1B;CHD8;SRP54;NT5C2;RAP1B;PTPA;TUBA1C;TUBA1B;GUK1;PPIP5K2;AKT2;ANXA6;MYO18A;TLK1;MTPAP;RAB6A;RAB2A;RHOG;TAP1;MYO9B;CDK11B;RHOA;RAB11A;DNM2;RAB10;PSMA6;RAB14;RAB37;WNK1;TAOK1;MYH9;KRAS;ADSS2;ARF5;MYO1F;PFKP;EIF4G1;RAB7A
GO_Molecular_Function_2023,Nuclear Androgen Receptor Binding (GO:0050681),6/25,0.0010089369071794,0.0133098997979198,0,0,6.24809682896106,43.10473322821922,TMF1;KDM4C;KDM1A;PRMT2;EP300;SMARCA4
GO_Molecular_Function_2023,Phosphatase Binding (GO:0019902),14/112,0.0010117232110171,0.0133098997979198,0,0,2.838405036726128,19.573925690256328,SMAD2;MTMR3;JUP;AP3B1;IQGAP1;DLG1;CNST;WNK1;TERF2IP;CTNNB1;SHOC2;JAK3;CD33;CTSC
GO_Molecular_Function_2023,Nuclear Estrogen Receptor Binding (GO:0030331),7/34,0.0010324711478993,0.0133098997979198,0,0,5.132793209876543,35.29206046324569,MED1;PRMT2;WBP2;CTNNB1;LCOR;MMS19;TACC1
GO_Molecular_Function_2023,Deubiquitinase Activity (GO:0101005),14/113,0.0011045536379652,0.0139361767513489,0,0,2.809585890383372,19.12854287630141,USP24;USP8;USP36;USP47;USP14;USP16;USP20;USP10;USP9X;USP3;USP33;USP34;PRPF8;CYLD
GO_Molecular_Function_2023,Protein Serine/Threonine Kinase Activity (GO:0004674),30/342,0.0012556681744865,0.0155127339056362,0,0,1.921127165257368,12.833297443683774,CCNK;ROCK1;TTN;STK10;GRK2;AKT2;TLK1;PTK2B;MAP3K8;CAMK2G;BRD4;CSNK2A1;SYK;CSNK1A1;RIOK3;DYRK1A;CSNK1D;BRAF;HIPK1;CDK11B;NRBP1;CLK3;MTOR;HIPK2;TAOK3;WNK1;TAOK1;PRKCQ;PKN2;CDK12
