direction,chromosome_arm,flag_n,background_n,in_arm_and_flag,in_arm_and_background,outside_arm_and_flag,outside_arm_and_background,frac_flag_in_arm,frac_background_in_arm,fisher_odds_ratio,fisher_p_value,rank_by_p_value
higher_in_a,13q,156,4844,2,135,154,4709,0.0128205128205128,0.027869529314616,0.453006253006253,0.4474308525118949,19
higher_in_a,14q,156,4844,3,154,153,4690,0.0192307692307692,0.0317919075144508,0.5971479500891266,0.4887409809952222,20
higher_in_a,7q,156,4844,7,171,149,4673,0.0448717948717948,0.0353014037985136,1.2838415950390518,0.5060347443544535,21
higher_in_a,8p,156,4844,3,72,153,4772,0.0192307692307692,0.0148637489677952,1.2995642701525054,0.5077184689525903,22
higher_in_a,10q,156,4844,6,255,150,4589,0.0384615384615384,0.0526424442609413,0.719843137254902,0.5818931227451143,23
higher_in_a,9q,156,4844,2,55,154,4789,0.0128205128205128,0.0113542526837324,1.130814639905549,0.6982190562313428,24
higher_in_a,18q,156,4844,1,69,155,4775,0.0064102564102564,0.014244426094137,0.4464703132304815,0.7259024558889741,25
higher_in_a,16q,156,4844,2,99,154,4745,0.0128205128205128,0.0204376548307184,0.622458349731077,0.771229886739855,26
higher_in_a,3p,156,4844,2,100,154,4744,0.0128205128205128,0.0206440957886044,0.6161038961038962,0.7716586529340559,27
higher_in_a,17q,156,4844,5,187,151,4657,0.032051282051282,0.0386044591246903,0.8246272621029146,0.8335822963443671,28
higher_in_a,12q,156,4844,6,222,150,4622,0.0384615384615384,0.0458298926507019,0.8327927927927928,0.8452979508496314,29
higher_in_a,6p,156,4844,7,252,149,4592,0.0448717948717948,0.0520231213872832,0.8560775540641312,0.854493220807117,30
higher_in_a,12p,156,4844,1,45,155,4799,0.0064102564102564,0.009289843104872,0.6880286738351254,1.0,31
higher_in_a,16p,156,4844,2,61,154,4783,0.0128205128205128,0.0125928984310487,1.018309559293166,1.0,32
higher_in_a,17p,156,4844,2,64,154,4780,0.0128205128205128,0.0132122213047068,0.9699675324675324,1.0,33
higher_in_a,18p,156,4844,0,25,156,4819,0.0,0.0051610239471511,0.0,1.0,34
higher_in_a,19q,156,4844,3,108,153,4736,0.0192307692307692,0.0222956234516928,0.859840232389252,1.0,35
higher_in_a,20q,156,4844,1,51,155,4793,0.0064102564102564,0.0105284888521882,0.6063251106894371,1.0,36
higher_in_a,5q,156,4844,8,250,148,4594,0.0512820512820512,0.0516102394715111,0.9932972972972972,1.0,37
higher_in_a,8q,156,4844,3,115,153,4729,0.0192307692307692,0.0237407101568951,0.806308610400682,1.0,38
higher_in_a,9p,156,4844,0,11,156,4833,0.0,0.0022708505367464,0.0,1.0,39
lower_in_a,21q,44,4956,11,37,33,4919,0.25,0.0074656981436642,44.31531531531532,1.1430409139090618e-13,1
lower_in_a,15q,44,4956,5,156,39,4800,0.1136363636363636,0.0314769975786924,3.9447731755424074,0.0128148936685358,2
lower_in_a,3q,44,4956,4,143,40,4813,0.0909090909090909,0.0288539144471347,3.365734265734266,0.0392099179640862,3
lower_in_a,6p,44,4956,0,259,44,4697,0.0,0.0522598870056497,0.0,0.1704508144244411,4
lower_in_a,10q,44,4956,0,261,44,4695,0.0,0.0526634382566586,0.0,0.1706646973585311,5
lower_in_a,1q,44,4956,3,162,41,4794,0.0681818181818181,0.0326876513317191,2.165311653116531,0.1762443671154443,6
lower_in_a,11p,44,4956,2,102,42,4854,0.0454545454545454,0.0205811138014527,2.2661064425770308,0.2325652734560407,7
lower_in_a,4q,44,4956,3,190,41,4766,0.0681818181818181,0.0383373688458434,1.8354300385109117,0.240326557914817,8
lower_in_a,7q,44,4956,0,178,44,4778,0.0,0.0359160613397901,0.0,0.406884871308095,9
lower_in_a,4p,44,4956,1,75,43,4881,0.0227272727272727,0.0151331719128329,1.5134883720930232,0.4917960265326733,10
