gene_id,mean_d1,mean_d2,delta_mean_d1_minus_d2,detected_frac_d1,detected_frac_d2,delta_detected_frac_d1_minus_d2,u_statistic,p_value,q_value_bh,abs_delta_mean
ENSG00000105372,6.130048465266562,603.8830732292924,-597.7530247640259,0.11389337641357045,0.9558223289315282,-0.8419289525179577,243976.5,0.0,0.0,597.7530247640259
ENSG00000102144,2.260096930533118,598.946458583434,-596.6863616529009,0.031502423263327965,0.720048019207655,-0.6885455959443271,759623.0,0.0,0.0,596.6863616529009
ENSG00000135486,2.8392568659127626,599.126050420169,-596.2867935542563,0.0500807754442649,0.917887154861903,-0.867806379417638,252826.5,0.0,0.0,596.2867935542563
ENSG00000196776,5.357835218093703,588.1075630252104,-582.7497278071168,0.03392568659127626,0.8249699879951627,-0.7910443014038865,483560.0,0.0,0.0,582.7497278071168
ENSG00000131051,14.95557350565427,596.1183673469367,-581.1627938412825,0.09046849757673672,0.9157262905161648,-0.8252577929394281,309955.0,0.0,0.0,581.1627938412825
ENSG00000164924,1.5953150242326337,579.5027611044414,-577.9074460802088,0.04604200323101774,0.9114045618246885,-0.8653625585936708,262759.0,0.0,0.0,577.9074460802088
ENSG00000112306,9.280290791599349,578.865786314526,-569.5854955229266,0.11066235864297269,0.9286914765905937,-0.818029117947621,334180.0,0.0,0.0,569.5854955229266
ENSG00000169100,2.8659127625201934,571.1440576230495,-568.2781448605293,0.04684975767366717,0.8307322929171311,-0.783882535243464,485289.0,0.0,0.0,568.2781448605293
ENSG00000100129,2.6833602584814202,570.2463385354132,-567.5629782769317,0.029079159935379663,0.7106842737094564,-0.6816051137740767,782085.5,0.0,0.0,567.5629782769317
ENSG00000196531,5.583198707592891,569.3971188475396,-563.8139201399466,0.067043618739903,0.8816326530611852,-0.8145890343212823,386156.5,0.0,0.0,563.8139201399466
ENSG00000143933,3.1890145395799667,561.2254501800732,-558.0364356404932,0.035541195476575124,0.7527010804321426,-0.7171598849555675,683566.5,0.0,0.0,558.0364356404932
ENSG00000206503,4.023424878836829,556.0662665066047,-552.0428416277679,0.0775444264943457,0.9409363745497765,-0.8633919480554308,208833.5,0.0,0.0,552.0428416277679
ENSG00000115053,2.8481421647819047,553.7678271308521,-550.9196849660702,0.053311793214862624,0.7807923169267385,-0.7274805237118758,624693.5,0.0,0.0,550.9196849660702
ENSG00000165119,0.9143780290791607,551.4818727491,-550.5674947200208,0.03392568659127626,0.8564225690275735,-0.8224968824362973,397449.5,0.0,0.0,550.5674947200208
ENSG00000198668,6.934571890145395,557.1318127250909,-550.1972408349454,0.05088852988691433,0.8264105642256548,-0.7755220343387406,511068.0,0.0,0.0,550.1972408349454
ENSG00000075415,1.1591276252019387,529.843697478991,-528.6845698537891,0.03473344103392569,0.6929171668667206,-0.6581837258327948,833150.0,0.0,0.0,528.6845698537891
ENSG00000198755,4.827948303715672,525.53037214886,-520.7024238451444,0.06946688206785132,0.897959183673429,-0.8284923016055776,340515.5,0.0,0.0,520.7024238451444
ENSG00000112081,1.6114701130856226,520.6064825930387,-518.9950124799531,0.03957996768982228,0.7795918367346617,-0.7400118690448394,614289.0,0.0,0.0,518.9950124799531
ENSG00000115524,3.2261712439418426,516.591836734695,-513.3656654907531,0.0476575121163166,0.7870348139255375,-0.7393773018092209,601446.5,0.0,0.0,513.3656654907531
ENSG00000187109,2.1922455573505664,513.5229291716702,-511.3306836143196,0.03392568659127626,0.7963985594237362,-0.7624728728324599,567517.5,0.0,0.0,511.3306836143196
ENSG00000067560,6.802100161550892,515.7421368547416,-508.94003669319073,0.03311793214862683,0.8052821128451041,-0.7721641806964773,542375.0,0.0,0.0,508.94003669319073
ENSG00000100201,3.3190630048465244,510.4117647058824,-507.0927017010359,0.07189014539579963,0.9020408163264899,-0.8301506709306903,317775.5,0.0,0.0,507.0927017010359
ENSG00000124193,0.14862681744749598,500.26626650660353,-500.117639689156,0.01777059773828757,0.6785114045617996,-0.660740806823512,847431.0,0.0,0.0,500.117639689156
ENSG00000148303,3.873990306946688,500.8316926770738,-496.95770237012715,0.05088852988691433,0.9121248499399346,-0.8612363200530203,282917.0,0.0,0.0,496.95770237012715
ENSG00000088448,0.8069466882067851,495.38895558223345,-494.58200889402667,0.04119547657512115,0.7603841536614337,-0.7191886770863126,658397.5,0.0,0.0,494.58200889402667
ENSG00000133872,1.275444264943457,494.90780312124974,-493.63235885630627,0.025848142164781922,0.7649459783913254,-0.7390978362265435,634211.5,0.0,0.0,493.63235885630627
ENSG00000213719,2.2051696284329565,494.8072028811546,-492.60203325272164,0.0323101777059774,0.7128451380551946,-0.6805349603492171,781455.0,0.0,0.0,492.60203325272164
ENSG00000100650,1.534733441033926,494.0509003601457,-492.51616691911175,0.03796445880452342,0.8554621848739121,-0.8174977260693888,413130.5,0.0,0.0,492.51616691911175
ENSG00000115232,2.1825525040387714,489.56998799519886,-487.3874354911601,0.03715670436187399,0.75438175270105,-0.717225048339176,678935.0,0.0,0.0,487.3874354911601
ENSG00000026508,2.0032310177705983,486.63409363745427,-484.6308626196837,0.054119547657512056,0.7606242496998491,-0.7065047020423371,681694.5,0.0,0.0,484.6308626196837
ENSG00000110700,5.5767366720516955,483.00480192077094,-477.42806524871924,0.09854604200323111,0.9085234093637043,-0.8099773673604732,365596.5,0.0,0.0,477.42806524871924
ENSG00000110321,2.71324717285945,479.8492196878774,-477.13597251501795,0.04119547657512115,0.7757503001200161,-0.734554823544895,627529.5,0.0,0.0,477.13597251501795
ENSG00000152795,1.217285945072698,474.2941176470603,-473.0768317019876,0.04684975767366717,0.7973589435773976,-0.7505091859037304,569404.0,0.0,0.0,473.0768317019876
ENSG00000063177,7.773828756058159,474.7519807923181,-466.9781520362599,0.07269789983844907,0.8845138055221694,-0.8118159056837203,408244.0,0.0,0.0,466.9781520362599
