gene_id,mean_d1,mean_d2,delta_mean_d1_minus_d2,detected_frac_d1,detected_frac_d2,delta_detected_frac_d1_minus_d2,u_statistic,p_value,q_value_bh,abs_delta_mean
ENSG00000226783,1.5113085621970923,0.3548619447779115,1.1564466174191808,0.002423263327948304,0.07202881152460942,-0.06960554819666112,2398899.0,1.067785096470932e-20,1.277092716491796e-20,1.1564466174191808
ENSG00000186940,1.8554119547657517,0.7973589435774261,1.0580530111883255,0.0072697899838449105,0.25090036014406225,-0.24363057016021733,1950873.0,4.1890221749244913e-79,1.290150942958751e-78,1.0580530111883255
ENSG00000178878,2.991922455573506,2.0422569027611064,0.9496655528123994,0.0032310177705977385,0.06074429771908735,-0.05751327994848961,2429807.0,7.04876362932586e-17,7.720899506846761e-17,0.9496655528123994
ENSG00000187068,1.2633279483037156,0.6569027611044393,0.6064251871992763,0.009693053311793216,0.0708283313325326,-0.06113527802073939,2421105.0,4.527954249403688e-16,4.856399100758891e-16,0.6064251871992763
ENSG00000258033,0.7059773828756059,0.1279711884753899,0.578006194400216,0.0016155088852988692,0.053301320528211085,-0.051685811642912215,2444946.5,1.2139906025805933e-15,1.2847760672466635e-15,0.578006194400216
ENSG00000213750,0.691437802907916,0.15726290516206518,0.5341748977458508,0.0032310177705977385,0.07539015606242451,-0.07215913829182677,2392282.0,3.141493933323078e-21,3.803046941483291e-21,0.5341748977458508
ENSG00000236582,0.7027463651050081,0.21968787515006027,0.4830584899549478,0.0016155088852988692,0.07106842737094797,-0.0694529184856491,2399372.0,6.745146574373056e-21,8.10408415587793e-21,0.4830584899549478
ENSG00000202198,1.1542810985460423,0.7190876350540215,0.4351934634920208,0.0072697899838449105,0.07442977190876306,-0.06715998192491815,2404832.0,1.3159677742235806e-18,1.5079137742765855e-18,0.4351934634920208
ENSG00000230783,0.8126009693053313,0.40816326530612135,0.40443770399921,0.004038772213247173,0.05954381752701053,-0.05550504531376336,2435178.0,5.253087752034126e-16,5.622931584489109e-16,0.40443770399921
ENSG00000184612,0.5686591276252021,0.1805522208883557,0.3881069067368464,0.004846526655896607,0.09483793517406894,-0.08999140851817233,2346489.5,3.631438568486919e-26,4.857580024899747e-26,0.3881069067368464
ENSG00000188536,2.0032310177705983,1.6194477791116457,0.3837832386589526,0.06623586429725356,0.04201680672268901,0.02421905757456455,2640434.0,0.00045583348203298476,0.0004568941354465417,0.3837832386589526
ENSG00000231531,0.6405492730210017,0.3356542617046813,0.3048950113163204,0.005654281098546042,0.11500600240095946,-0.10935172130241341,2296479.5,4.854810236969071e-32,7.202240006009793e-32,0.3048950113163204
ENSG00000240854,0.6276252019386107,0.34165666266506667,0.28596853927354404,0.0016155088852988692,0.10012004801920693,-0.09850453913390807,2324594.0,7.742960585565832e-30,1.1059049474720076e-29,0.28596853927354404
ENSG00000185607,0.388529886914378,0.1454981992797115,0.2430316876346665,0.002423263327948304,0.09939975990396084,-0.09697649657601254,2328230.5,3.52189581496076e-29,4.974692274208974e-29,0.2430316876346665
ENSG00000224822,0.6898222940226165,0.4573829531812717,0.23243934084134482,0.05250403877221319,0.058343337334933715,-0.005839298562720523,2563535.0,0.4507997580919437,0.45146352090996505,0.23243934084134482
ENSG00000236523,0.37883683360258485,0.17839135654261687,0.20044547705996799,0.0008077544426494346,0.08139255702280859,-0.08058480258015915,2370546.0,1.3574808436085048e-24,1.7584928771003117e-24,0.20044547705996799
ENSG00000240616,4.968497576736672,4.784153661464528,0.18434391527214355,0.010500807754442652,0.4297719087634976,-0.4192711010090549,1495291.5,2.2890552899099046e-158,1.9840014427569214e-157,0.18434391527214355
ENSG00000176183,0.2633279483037157,0.12436974789915893,0.13895820040455675,0.0032310177705977385,0.08691476590636195,-0.08368374813576421,2362668.0,9.782004143503545e-25,1.2699702586547751e-24,0.13895820040455675
ENSG00000169218,0.36268174474959614,0.2355342136854746,0.12714753106412152,0.010500807754442652,0.0617046818727488,-0.05120387411830615,2446553.0,4.733444778307208e-13,4.817697634879425e-13,0.12714753106412152
ENSG00000257616,0.3392568659127625,0.21296518607442977,0.12629167983833273,0.0016155088852988692,0.05282112845138036,-0.05120561956608149,2446336.0,1.8135449649812146e-15,1.911774335790214e-15,0.12629167983833273
ENSG00000230362,0.2536348949919225,0.12989195678271295,0.12374293820920954,0.0016155088852988692,0.059063625450179805,-0.057448116564880934,2430269.0,2.578818374086433e-17,2.8581535032863614e-17,0.12374293820920954
ENSG00000256293,0.25848142164781907,0.1351740696278508,0.12330735201996826,0.002423263327948304,0.055462184873949355,-0.05303892154600105,2441570.0,9.27073401240633e-16,9.845964467646861e-16,0.12330735201996826
