cell_id,H,S,M,R,phi,treatment_state,d2_subdomain,H_rank,M_rank,phi_rank,inv_R_rank,ripeness_proxy
GSM4916587_ND1_untreated_070218_plate1_H1_S8_rep1_NA,2.188985429154508,-2.014640721646324,0.7699032,-0.2609338,3.084034991973834,untreated,D2_1,0.7045592705167173,0.5835866261398176,0.8291793313069908,0.49726443768996964,0.6536474164133738
GSM4916594_ND1_untreated_070218_plate1_H9_S70_rep1_NA,2.7092348986738903,-3.4691465033780537,0.3283777,0.34684122,4.427534522038318,untreated,D2_1,0.8401215805471125,0.16291793313069908,0.9756838905775076,0.14346504559270512,0.530547112462006
GSM4916662_ND2_untreated_080818_plate1_F5_S38_rep1_NA,1.1652218601270827,-0.041912135933382,0.4840218,1.0712512,1.6557037315997079,untreated,D2_1,0.22249240121580546,0.2826747720364742,0.2735562310030395,0.045592705167173286,0.2060790273556231
GSM4916668_ND2_untreated_080818_plate1_G11_S87_rep1_NA,1.470338606010919,0.3146585727661211,0.49130535,1.5860668,2.24006573000486,untreated,D2_1,0.38054711246200607,0.2899696048632219,0.5501519756838906,0.00547112462006083,0.30653495440729484
GSM4916670_ND2_untreated_080818_plate1_G1_S7_rep1_NA,1.8298260070941632,0.3948962267748594,0.5922819,1.4635196,2.4488555928863915,untreated,D2_1,0.5592705167173252,0.37142857142857144,0.6522796352583586,0.013373860182370856,0.39908814589665653
GSM4916671_ND2_untreated_080818_plate1_G2_S15_rep1_NA,1.0974134406238725,0.864301860388341,0.4639479,1.3559114,2.001268933476219,untreated,D2_1,0.1890577507598784,0.26443768996960487,0.4358662613981763,0.021276595744680882,0.22765957446808513
GSM4916672_ND2_untreated_080818_plate1_G3_S23_rep1_NA,1.2729117792622011,0.5188103673976099,0.3931425,1.3622049,1.9747485434844523,untreated,D2_1,0.270516717325228,0.20182370820668694,0.4158054711246201,0.0194528875379939,0.22689969604863222
GSM4916675_ND2_untreated_080818_plate1_G6_S47_rep1_NA,1.234929804899977,0.5415709315714659,0.6204135,1.3379899,1.9983694804609433,untreated,D2_1,0.25227963525835867,0.4006079027355623,0.43343465045592705,0.02310030395136775,0.2773556231003039
GSM4916681_ND2_untreated_080818_plate1_H2_S16_rep1_NA,2.2281643732029077,-0.2408568174164858,0.582059,1.4594617,2.737069530310583,untreated,D2_1,0.7142857142857143,0.3629179331306991,0.7440729483282674,0.013981762917933183,0.45881458966565347
GSM4916682_ND2_untreated_080818_plate1_H3_S24_rep1_NA,1.395765529629338,-0.3101740735055184,0.5008937,1.5323925,2.1548760155360247,untreated,D2_1,0.34164133738601826,0.2978723404255319,0.5130699088145897,0.00911854103343468,0.2904255319148937
GSM4916683_ND2_untreated_080818_plate1_H4_S32_rep1_NA,1.450055983518695,0.5940281380598927,0.11211057,1.8660089,2.4392805863471727,untreated,D2_1,0.3696048632218845,0.08753799392097264,0.6455927051671733,0.0018237082066869803,0.2761398176291794
GSM4916704_ND3_untreated_080818_plate1_B1_S98_rep1_NA,1.4795453185211276,-1.3821182193601371,0.5659355,1.1780111,2.40983365893343,untreated,D2_1,0.3860182370820669,0.3465045592705167,0.6303951367781155,0.03465045592705163,0.34939209726443765
GSM4916711_ND3_untreated_080818_plate1_B8_S154_rep1_NA,1.258465648749887,0.5011614340499347,0.3120839,1.6617237,2.166476537570477,untreated,D2_1,0.26261398176291795,0.15683890577507598,0.5173252279635259,0.003039513677811523,0.23495440729483283
GSM4916716_ND3_untreated_080818_plate1_C1_S99_rep1_NA,1.7839954419116606,-1.960253347827277,-0.61154217,0.7067498,2.8104647355763026,untreated,D2_1,0.5367781155015198,0.009726443768996961,0.7617021276595745,0.06990881458966569,0.34452887537993926
GSM4916724_ND3_untreated_080818_plate1_C9_S163_rep1_NA,1.0048748067163018,0.0738687200863419,0.5920483,1.1730912,1.6558665761560167,untreated,D2_1,0.15379939209726443,0.3708206686930091,0.2741641337386018,0.03525835866261395,0.20851063829787234
GSM4916729_ND3_untreated_080818_plate1_D2_S108_rep1_NA,1.1085880050123746,0.5017597890648468,0.57308143,1.4635242,1.987726253832806,untreated,D2_1,0.19574468085106383,0.35440729483282674,0.4237082066869301,0.012765957446808529,0.2466565349544073
