cell_id,d2_subdomain,bcell_lymphoid_like_score,antigen_presentation_score,stress_immediate_early_score,malignant_output_core_score
GSM4916635_ND2_untreated_080818_plate1_D2_S12_rep1_NA,D2_2,0.7314025646599834,0.03924750367805493,-0.010659896796820782,0.07536637757873207
GSM4916637_ND2_untreated_080818_plate1_D4_S28_rep1_NA,D2_2,0.607055879468328,0.3980869481635591,-0.14856719549738978,-0.12123821183816698
GSM4916638_ND2_untreated_080818_plate1_D5_S36_rep1_NA,D2_2,0.4216537362855217,0.19101672429707878,-0.370341345081728,-0.11802644072768423
GSM4916639_ND2_untreated_080818_plate1_D6_S44_rep1_NA,D2_2,0.4282715033280881,-0.42550511541118335,-0.6326227014705431,-0.41464802006566553
GSM4916640_ND2_untreated_080818_plate1_D7_S52_rep1_NA,D2_2,0.20967761416994649,-0.8511227197115607,-0.2955572352565815,-1.0735875434759905
GSM4916641_ND2_untreated_080818_plate1_D8_S60_rep1_NA,D2_2,0.11364145560870911,-0.835625817158351,0.21217430434276166,-0.9956676491732953
GSM4916642_ND2_untreated_080818_plate1_D9_S68_rep1_NA,D2_2,0.43782205176591926,-0.5342746618208892,-0.002104557068890941,-0.5644398224841999
GSM4916643_ND2_untreated_080818_plate1_E10_S77_rep1_NA,D2_2,-0.15379972248909782,1.2502733939754442,0.40564651483708825,0.26822781474747626
GSM4916644_ND2_untreated_080818_plate1_E11_S85_rep1_NA,D2_2,0.7750720517659191,0.20527483842785363,0.3748665865030072,-0.23418546543954344
GSM4916647_ND2_untreated_080818_plate1_E2_S13_rep1_NA,D2_2,0.43782205176591926,-0.0966649583089502,0.0679949475759526,-0.3074693576329704
GSM4916648_ND2_untreated_080818_plate1_E3_S21_rep1_NA,D2_2,0.6093560694879335,0.7526207694740867,0.6465544725611043,-0.04672141683572931
GSM4916649_ND2_untreated_080818_plate1_E4_S29_rep1_NA,D2_2,-0.6745,-1.0058313512447883,-0.3454720219936877,-1.3664534201650953
GSM4916650_ND2_untreated_080818_plate1_E5_S37_rep1_NA,D2_2,0.6985466194624945,0.5656119493837845,1.0707451313322571,0.5178471524452755
GSM4916651_ND2_untreated_080818_plate1_E6_S45_rep1_NA,D2_2,0.6884424096315062,0.17862762459349715,-0.32234940269129375,0.10051541595328568
GSM4916652_ND2_untreated_080818_plate1_E7_S53_rep1_NA,D2_2,-0.33725,0.5384555005144314,0.7427024153318492,-0.17231702751293698
GSM4916653_ND2_untreated_080818_plate1_E8_S61_rep1_NA,D2_2,0.5054934366818992,-0.24943067960891357,-0.5562760442047161,-0.7949301817976527
GSM4916654_ND2_untreated_080818_plate1_E9_S69_rep1_NA,D2_2,0.5413060941515417,0.8678472658330859,0.840247284873823,0.30397076943289963
GSM4916655_ND2_untreated_080818_plate1_F10_S78_rep1_NA,D2_2,0.8180625661318577,0.819431816210073,-0.38351758452672813,0.5428088704671205
GSM4916656_ND2_untreated_080818_plate1_F11_S86_rep1_NA,D2_2,0.6178735177869188,0.6706006867730021,0.31048657014045095,0.27179577136698935
GSM4916657_ND2_untreated_080818_plate1_F12_S94_rep1_NA,D2_2,0.474812907027386,0.575350604004293,0.6143960650277008,0.11497020820775009
GSM4916659_ND2_untreated_080818_plate1_F2_S14_rep1_NA,D2_2,0.6514888212059582,0.7646624736042931,-0.06469770972767547,0.17723090629375537
GSM4916660_ND2_untreated_080818_plate1_F3_S22_rep1_NA,D2_2,0.6937084199654394,0.4583435029960445,-1.6653355375568608,0.21849168445156153
GSM4916661_ND2_untreated_080818_plate1_F4_S30_rep1_NA,D2_2,0.3624889140401212,-0.3569327973318982,0.1846157653193345,-0.38337342721902845
GSM4916662_ND2_untreated_080818_plate1_F5_S38_rep1_NA,D2_1,0.8997329961083355,1.186291925282287,0.8048721907301848,0.41853750830009073
GSM4916663_ND2_untreated_080818_plate1_F6_S46_rep1_NA,D2_2,0.20657318395711374,-0.5095134675626625,0.14791180162962697,-1.2530271951186553
GSM4916664_ND2_untreated_080818_plate1_F7_S54_rep1_NA,D2_2,0.7184912341840839,0.28781763774018737,-0.25676397192424416,0.017341857466006482
GSM4916665_ND2_untreated_080818_plate1_F8_S62_rep1_NA,D2_2,-0.026786870253669253,-0.16053670424629127,0.36323681128123675,-0.5607959514191068
GSM4916666_ND2_untreated_080818_plate1_F9_S70_rep1_NA,D2_2,0.7893077584712591,0.17560485767888173,0.5925760308896517,0.18598758984297353
GSM4916667_ND2_untreated_080818_plate1_G10_S79_rep1_NA,D2_2,0.3639698050565278,-0.5106376952348353,-1.4370391538401475,-1.4189875265361092
GSM4916668_ND2_untreated_080818_plate1_G11_S87_rep1_NA,D2_1,0.7698200172721589,1.4090268433303208,1.0025503281308514,0.9296383909853204
GSM4916669_ND2_untreated_080818_plate1_G12_S95_rep1_NA,D2_2,0.6129846485845528,1.3222896202702403,-0.0830732669008526,0.454961259336265
GSM4916670_ND2_untreated_080818_plate1_G1_S7_rep1_NA,D2_1,1.0120180463514596,1.7696146615620132,0.6094874486808045,0.8389587211716695
GSM4916671_ND2_untreated_080818_plate1_G2_S15_rep1_NA,D2_1,0.45379513080081274,0.6194401740687091,0.4937503165669895,0.48251626510982853
GSM4916672_ND2_untreated_080818_plate1_G3_S23_rep1_NA,D2_1,0.5207002775109022,0.8822808006071089,0.5350845262924576,0.6857907262006698
